,SpBLEU_corpus_score,ChrF_corpus_score
Madar26--dza_to_eng,0.1672784094162168,0.4009984205341198
Madar26--egy_to_eng,0.1782995112716373,0.4362810759142837
Madar26--sau_to_eng,0.1741369230190955,0.4627464281721811
Madar26--syr_to_eng,0.1639136843436888,0.4205914295455515
Madar26--mar_to_eng,0.172426559969749,0.4239746726620027
Madar26--pse_to_eng,0.2147703189786775,0.4363897913476401
Madar26--sdn_to_eng,0.3054565213403547,0.5269294339033108
Madar26--eng_to_dza,0.0228904328918724,0.1228213288751224
Madar26--eng_to_egy,0.0278277715545927,0.1427991374094105
Madar26--eng_to_sau,0.0360168821839563,0.1705030484036579
Madar26--eng_to_syr,0.0244289404726623,0.1422216629913434
Madar26--eng_to_mar,0.0170572794183508,0.0967814166966523
Madar26--eng_to_pse,0.0213466054213273,0.1154635371121412
Madar26--eng_to_sdn,0.0283575724527089,0.1371621136332808
Madar26--dza_to_msa,0.0317772742011722,0.1495230319214695
Madar26--egy_to_msa,0.0391371780423296,0.1441344854746869
Madar26--sau_to_msa,0.0496734194433194,0.197402253528527
Madar26--syr_to_msa,0.0343667602949861,0.1303724837824277
Madar26--mar_to_msa,0.0375751031297377,0.1326213169331017
Madar26--pse_to_msa,0.0341065988896992,0.1063329594382586
Madar26--sdn_to_msa,0.0476705304921796,0.1454111259955491
Madar26--msa_to_dza,0.0362431435352022,0.2123036086287276
Madar26--msa_to_egy,0.0508112603807313,0.2408761327616654
Madar26--msa_to_sau,0.0664796205499977,0.2770574528192809
Madar26--msa_to_syr,0.0496254299397528,0.2361794722038666
Madar26--msa_to_mar,0.055000606585841,0.2444279492528129
Madar26--msa_to_pse,0.0498261126388052,0.234473563654416
Madar26--msa_to_sdn,0.0605103351098667,0.2692714852267445
Flores200--egy_to_eng,0.2399269093259278,0.5190361172031244
Flores200--sau_to_eng,0.2892093206801182,0.5640372005432236
Flores200--syr_to_eng,0.2791519043319183,0.5434720198601841
Flores200--mar_to_eng,0.1841684635792956,0.4612601262317706
Flores200--pse_to_eng,0.3035933245660121,0.5685445577852165
Flores200--eng_to_egy,0.0691756507278536,0.1616063963742272
Flores200--eng_to_sau,0.1045937233905616,0.1914725028199029
Flores200--eng_to_syr,0.0667628664454994,0.1624317952405093
Flores200--eng_to_mar,0.0210536730648252,0.0506851354858714
Flores200--eng_to_pse,0.0454428446856487,0.1044257772400656
Flores200--egy_to_msa,0.0630115093448711,0.0816611725547141
Flores200--sau_to_msa,0.2750057995825911,0.2778046660127862
Flores200--syr_to_msa,0.0792223814722426,0.1166914993433915
Flores200--mar_to_msa,0.0444001866493322,0.0606104325240066
Flores200--pse_to_msa,0.0840991143230188,0.1268854473483292
Flores200--msa_to_egy,0.2769455927931051,0.3812039042216074
Flores200--msa_to_sau,0.5214182014594381,0.5429052985411593
Flores200--msa_to_syr,0.2268669755671259,0.3586864841138917
Flores200--msa_to_mar,0.1372932073236245,0.2332255777966117
Flores200--msa_to_pse,0.1894919240941945,0.2839359908004197
