,score,prob,dialectness,macro_score
BTEC--dza,0.2969491716290874,0.3667180554347578,0.7380268950015306,0.6020169616796478
BTEC--egy,0.4999848884231362,0.6327816907939269,0.7777532231807709,0.5017013701071371
BTEC--sau,0.0599594358864284,0.0954741726031352,0.6042767366021872,0.3020841307299592
BTEC--syr,0.1770851542463779,0.2240433302882593,0.7475877040252089,0.6310033711202511
FLORES--egy,0.3930748465853424,0.5874205151177011,0.6118225413933396,0.3958539952402829
FLORES--sau,0.0069915163443821,0.0234406874445994,0.2959778653271496,0.0713265128238724
FLORES--syr,0.0728199238286494,0.1603383067896356,0.4717136353999376,0.4144899718480495
HABIBI--dza,0.2572162699400306,0.3186474051500467,0.7521232005165911,0.5787172672414729
HABIBI--egy,0.5101194081800355,0.6413710642809747,0.7306786587461829,0.5125136425547893
HABIBI--sau,0.0208404095606455,0.0457893393191625,0.5685768680274487,0.255295283452739
HABIBI--syr,0.1243620292226903,0.1533777126274071,0.7660197082161904,0.6319454825383766
TWEET--dza,0.4932510901135098,0.5927769147913204,0.776687365360558,0.6490786849250937
TWEET--egy,0.5375447144331678,0.6432768277591094,0.7737537327408791,0.5386623165909148
TWEET--sau,0.1464918013660456,0.2256740193627774,0.58731704255566,0.3808620773125208
TWEET--syr,0.3147706291701588,0.4805402670544572,0.6581969410181046,0.6020165503916789
