,score,prob,dialectness,macro_score
HEHE--dza,0.0345196094578738,0.1064611786661887,0.0613674139641126,0.0493948967628314
HEHE--egy,0.0754525072887869,0.1953015611458992,0.0929082346523238,0.0756423393035757
HEHE--sau,0.0055862260883802,0.0814519952685562,0.0248932163788898,0.0127203349718474
HEHE--syr,0.0396301564043442,0.152666967701608,0.0697548917090324,0.0588913356515008
HEHE--kwt,0.0087068701553992,0.0836445048910892,0.0637875709037465,0.0486198781454903
HEHE--mar,0.122459893000187,0.3288383050896828,0.1366819120024741,0.128059787941534
HEHE--pse,0.0231056680835328,0.1658512878798178,0.1060893374288781,0.0844817410656879
HEHE--sdn,0.0268928647083256,0.0989770564115851,0.0947635903317285,0.0624802122292703
Okapi--dza,0.0143393482503249,0.2654463485209271,0.0206254537176573,0.0185963995258518
Okapi--egy,0.0200570025865307,0.2269860030652489,0.0242545183643233,0.0200924530450049
Okapi--sau,0.0005936576552976,0.1435514541569864,0.0024628351535648,0.0010286352951229
Okapi--syr,0.0073380853946833,0.2561000052490271,0.0109506172279361,0.0096704238281935
Okapi--kwt,0.0023937335909078,0.1147824991098605,0.0210242650529835,0.0184952820846527
Okapi--mar,0.0974764323639403,0.4137549874314573,0.1021166231296956,0.0977624780634946
Okapi--pse,0.0056091084536383,0.176354877941776,0.0208147172827739,0.0156984827447427
Okapi--sdn,0.0071368086914109,0.2036317396943923,0.0322828253358602,0.0164675951057596
ShareGPT--dza,0.047137177072502,0.261705236379357,0.1002478963904778,0.0921785693915168
ShareGPT--egy,0.023748883026091,0.1679098789181443,0.0269809201452881,0.0238276452209972
ShareGPT--sau,0.0001341917806338,0.0831026472669327,0.0028021933254785,0.0015074592524782
ShareGPT--syr,0.0153715719031961,0.2796531010884792,0.0356933594122529,0.0323325634435305
ShareGPT--kwt,0.0005424597120297,0.0783560097869485,0.0254076989681925,0.0246608103032683
ShareGPT--mar,0.122015348599254,0.3579502366005909,0.1226047424064017,0.122135441878867
ShareGPT--pse,0.0211415797830539,0.129553969069384,0.0922133404016494,0.0869120922622268
ShareGPT--sdn,0.0152383121665759,0.2298089665814768,0.0456287357793189,0.0250051784824963
