,score,prob,dialectness,macro_score
BTEC--dza,0.086385689344402,0.2411949700908735,0.1809044049819931,0.1578908852604558
BTEC--egy,0.1283553401856151,0.2983895832594135,0.1649817977193743,0.1349286191655209
BTEC--sau,0.0124995885049787,0.0723874648683704,0.0459165021777153,0.0373054496624788
BTEC--syr,0.1018656249443033,0.1794227848935406,0.3110252664610743,0.2410294307105411
BTEC--mar,0.1477290327807274,0.5350383793759101,0.1724373802356422,0.1490918303161953
BTEC--pse,0.0141077584021031,0.0621768120699562,0.0952103011030703,0.0684317479643923
BTEC--sdn,0.0109215518873087,0.1445543497614562,0.0524656907934695,0.0388649468719876
FLORES--egy,0.0821786386361363,0.2067224321112735,0.0924090671446174,0.0824189435419597
FLORES--sau,4.6597213180208684e-06,0.0209837391221663,0.0002299821749329,7.773487648098799e-05
FLORES--syr,0.0435639412079666,0.1208393775271542,0.177519033011049,0.1078694892026075
FLORES--mar,0.096348453961635,0.3914113576902309,0.0976701428461819,0.0965953083026556
FLORES--pse,0.0027694970153734,0.0519218182738404,0.0255542350746691,0.0181539706721884
HABIBI--dza,0.0601353324333471,0.211588809811296,0.2428556249166528,0.15543186231306
HABIBI--egy,0.1334769919910793,0.3097345731267705,0.1890502165351063,0.1341185510598783
HABIBI--sau,0.0108050524756157,0.0527868184319231,0.0927532578911632,0.069579178731396
HABIBI--syr,0.0634111292241593,0.1230035381263587,0.3411021396704018,0.1577309511551304
HABIBI--kwt,0.0065881500159673,0.0185620995279168,0.1211511906422674,0.0844172220673745
HABIBI--mar,0.1038186799327208,0.4621849925760762,0.1382433815207332,0.1125021476151899
HABIBI--pse,0.0316176096211518,0.0786499851345956,0.1834220505343415,0.0860576162611926
HABIBI--sdn,0.0051829960972766,0.0493836182417468,0.1029267174502213,0.0570050922336303
TWEET--dza,0.1963540906879225,0.4971703877253458,0.2689244400337338,0.2625514462668606
TWEET--egy,0.1251606080593543,0.3492969602689845,0.1536914122942835,0.1256687109667659
TWEET--sau,0.0471730599310678,0.305214222392533,0.0943817553855478,0.082807449544971
TWEET--syr,0.0989260885330122,0.3990465179365128,0.2227711748983711,0.1723674090675907
TWEET--kwt,0.0131826876383384,0.0542384266236331,0.1220646097511053,0.1086309984952863
TWEET--mar,0.1147636327467511,0.6263579838641453,0.1445578116644174,0.1368481171052289
TWEET--pse,0.0374257694253937,0.3510481505775533,0.1335787145700305,0.0831196738646044
TWEET--sdn,0.0318877239337781,0.2498239248606842,0.0925728421192616,0.0762154148470304
