,score,prob,dialectness,macro_score
BTEC--dza,0.2271059436642975,0.3311542583673837,0.4736998470145322,0.3522452565308503
BTEC--egy,0.2578757603715391,0.4383721265787079,0.3771758513228798,0.2613083006254143
BTEC--sau,0.0377914626433717,0.1178784999776879,0.2162673501791331,0.1046877327091995
BTEC--syr,0.1874746882302775,0.2895326202737981,0.5060080445649895,0.4404703391858981
FLORES--egy,0.2090489224054278,0.3939029015155392,0.2700721709430217,0.2121214365446515
FLORES--sau,0.0026105108523558,0.0496063651148142,0.0736414250743109,0.0271755049029926
FLORES--syr,0.0748029698223306,0.1677058635294088,0.2810822055768222,0.2074687515077692
HABIBI--dza,0.1197786829358976,0.2167282456119375,0.4651370798502202,0.2496899006610063
HABIBI--egy,0.2980656739562519,0.4693177925125622,0.4879230110636471,0.2989493641340868
HABIBI--sau,0.0095709639822382,0.0480900257502798,0.2347333620354766,0.1301814584324085
HABIBI--syr,0.0699137556828461,0.1281827425682422,0.4173375702581931,0.2113822973021278
TWEET--dza,0.3329787599309718,0.5193218631857934,0.5206545679395056,0.4357704016646546
TWEET--egy,0.3396852714010366,0.481796317807634,0.4487353686348909,0.3406279647370087
TWEET--sau,0.1009022394148442,0.3198439444632659,0.280818702404183,0.1951930569395593
TWEET--syr,0.2297582063989325,0.5241286386572755,0.4154283539787866,0.3736118704223501
