,score,prob,dialectness,macro_score
BTEC--dza,0.0295704784357003,0.1094946112230536,0.2518127243313938,0.2417875925471467
BTEC--egy,0.3254073222582592,0.5486394690047018,0.3663705176766962,0.3268821256126004
BTEC--sau,0.0759055071496977,0.2359465379329049,0.1691857260651886,0.1147454706724877
BTEC--syr,0.1113430316036993,0.2281584620568901,0.3614955872949212,0.2757276697586199
BTEC--mar,0.2788093796924253,0.7979957946180366,0.2882475984189659,0.2846203450844137
BTEC--pse,0.0290193700959125,0.0905491416587028,0.1779015003703534,0.1168615593969668
BTEC--sdn,0.0410367748108688,0.1695103667562943,0.1876373057346791,0.1363649193010656
FLORES--egy,0.3373119178935814,0.5796299829706549,0.3956956192106008,0.3440926828914328
FLORES--sau,0.014534359726458,0.1306063941185857,0.0620457572489976,0.0279773483835653
FLORES--syr,0.0624343494228329,0.1383189359540119,0.265492180576548,0.2070044207754641
FLORES--mar,0.2788037897165716,0.7117787334189052,0.2964867309853434,0.2828114891682208
FLORES--pse,0.0144276845195066,0.0622279353329213,0.1227477598190307,0.0842484786604822
HABIBI--dza,0.0405633772811997,0.1295205034207199,0.2995258892468851,0.2827085318991093
HABIBI--egy,0.2114733658731609,0.4372628673590952,0.2878093667514622,0.2166448086746712
HABIBI--sau,0.0532158842862919,0.209199979515979,0.1822687841299921,0.1053363144184069
HABIBI--syr,0.0711255161668266,0.1652676730853272,0.2529662027303129,0.1603050329811137
HABIBI--kwt,0.0024190264753579,0.0071625150157342,0.1665161202941089,0.0799824818390511
HABIBI--mar,0.2601495476407746,0.7260664315382018,0.3074441097863019,0.2836108820566921
HABIBI--pse,0.0156471103798948,0.0454462291786629,0.1625049948358,0.0631319279137888
HABIBI--sdn,0.026860787086329,0.083562904646525,0.1733905005779477,0.1144868292287855
TWEET--dza,0.0973193582410516,0.2250118529074825,0.2204489017650485,0.212614562918308
TWEET--egy,0.42035660067863,0.6406731176190078,0.4776388236228376,0.4236391098766088
TWEET--sau,0.1338653815576235,0.3543926836104947,0.2330853659193962,0.1726823096624992
TWEET--syr,0.1753265990869249,0.3894435373174201,0.311943159578368,0.2558803795183562
TWEET--kwt,0.0111815079581661,0.0324989061990345,0.1911845033522695,0.1246166307720576
TWEET--mar,0.296397790891244,0.8163387386361137,0.3022330014128238,0.2984484704211338
TWEET--pse,0.0650260701622748,0.2130287598632276,0.2186423791199922,0.1485187228870001
TWEET--sdn,0.1855190160529444,0.3953269924057531,0.3123907198384404,0.2196219896455992
