,score,prob,dialectness,macro_score
HEHE--dza,0.0084006478808808,0.0969060133271322,0.0295432970700689,0.0168615933326325
HEHE--egy,0.0064457960577972,0.1131993791543432,0.0288586178776684,0.0079882786110907
HEHE--sau,0.0016756415419614,0.0547767442137425,0.015602322560543,0.011425633485667
HEHE--syr,0.0002617144485327,0.0420292667053236,0.0143703814144678,0.0014701419286949
HEHE--kwt,0.0004034851346611,0.041564916869939,0.0149310603725952,0.0101230902221757
HEHE--mar,0.0300706367667622,0.1380080297703341,0.0375895504150729,0.031621426213677
HEHE--pse,0.0034631223737366,0.0361473352312138,0.0146447704316173,0.0039406680793741
HEHE--sdn,0.0007141457289462,0.0532012196325519,0.0263379877793228,0.0055686145163149
Okapi--dza,0.008224249219242,0.1137439716048538,0.0160951640416169,0.0150120122467449
Okapi--egy,0.0174818166513375,0.2019285289448453,0.0273027796065434,0.0176100530097504
Okapi--sau,0.0066668823207009,0.1319891229091445,0.0115690208156593,0.010515177424888
Okapi--syr,0.0055570413492143,0.1901789418398402,0.0105281342589296,0.0059948217557112
Okapi--kwt,0.0074116199155913,0.1590613559226039,0.010568145312136,0.0094416812452768
Okapi--mar,0.0151286163469804,0.2608848272403702,0.0311556645145174,0.0181932384639503
Okapi--pse,0.0037978211622075,0.1241876071179285,0.012267532775877,0.0097554710674046
Okapi--sdn,0.0052145267931646,0.0568930298177292,0.0167460051132366,0.0112178318463691
ShareGPT--dza,0.0040759467189601,0.1085541877592913,0.0048357785487314,0.0043540113990362
ShareGPT--egy,0.0304382295097598,0.1527862246462609,0.0324022423836868,0.0305018511777126
ShareGPT--sau,0.0025104237521576,0.0988266520947218,0.00383164766361,0.0035812197210026
ShareGPT--syr,0.0049581915536948,0.1438144316186662,0.0055225172685459,0.0050079457119216
ShareGPT--kwt,0.0036421979213207,0.0894221460539847,0.0057031842361902,0.0055045955036648
ShareGPT--mar,0.0090249589615475,0.1114925258490256,0.0104193111852509,0.0090479289930806
ShareGPT--pse,0.0025875288298595,0.068962100277422,0.0099718042719177,0.0092230462064284
ShareGPT--sdn,0.0005844652652118,0.0451286329957656,0.0149637564341537,0.0113154372331404
