,score,prob,dialectness,macro_score
BTEC--dza,0.0203606993225893,0.1280896449254942,0.1216397503949701,0.0904161021144975
BTEC--egy,0.0862220404673606,0.2144030085171107,0.124360422687605,0.0866793637889108
BTEC--sau,0.0113379550564381,0.0896368922595866,0.0361462607514113,0.0252111920358385
BTEC--syr,0.0236975281846652,0.1063992806049645,0.107313941353932,0.0831553264187807
BTEC--mar,0.1175686135256011,0.325198117060936,0.1565548083931207,0.120084870847546
BTEC--pse,0.0174988176176477,0.0625650289555778,0.0924029154423624,0.0585375042589384
BTEC--sdn,0.0140678366016704,0.1121705382765503,0.0795326145179569,0.0496574752397192
FLORES--egy,0.0303764479897179,0.1207595438370481,0.0337249427009373,0.0304191445142574
FLORES--sau,5.2981719696122007e-05,0.0216767882503336,0.0008023563679307,0.000250816600924
FLORES--syr,0.0002124640242109,0.043316394489957,0.0349461222067475,0.0046657217044496
FLORES--mar,0.0671300696188569,0.2369884067215025,0.0764361175056547,0.0679761104173947
FLORES--pse,0.0020138974907695,0.049493463441031,0.0212858966086059,0.0119370964693033
HABIBI--dza,0.0438773527706677,0.2017234907353072,0.2185486382644238,0.1445969571428346
HABIBI--egy,0.1122349727762767,0.2832385123358108,0.1507074794359505,0.1135620079918299
HABIBI--sau,0.0103327066916131,0.0593510787072591,0.0987934630457311,0.0727877027876298
HABIBI--syr,0.0376086945968304,0.0826484992436599,0.2589836250524968,0.1023784847876266
HABIBI--kwt,0.0030233036897471,0.0122980453089985,0.1064815748948603,0.0647319249027034
HABIBI--mar,0.0663449755314273,0.4117488080391194,0.1457355805765837,0.0909041588712407
HABIBI--pse,0.0210334251127691,0.0833718536827617,0.1475505719367319,0.0452711167056673
HABIBI--sdn,0.00226615295616,0.0394511470123336,0.1396058222419151,0.0668636403964207
TWEET--dza,0.1274371976253511,0.4158990079590876,0.2355061597935855,0.1903795951195922
TWEET--egy,0.1814534925738529,0.3629444126150338,0.2048704431578517,0.1822100216057785
TWEET--sau,0.0440352976589928,0.2638003022613702,0.0935015334747731,0.0725481881295599
TWEET--syr,0.0756269925505512,0.3009012499894015,0.1381463187746703,0.117249625221865
TWEET--kwt,0.0029410646365344,0.0265801978405215,0.0999177786614745,0.0855081093096885
TWEET--mar,0.113813242182246,0.5768684741284232,0.1320725565683096,0.115606459794474
TWEET--pse,0.0447100756855076,0.31011291658564,0.1134789368975907,0.0729482532554892
TWEET--sdn,0.032268908994907,0.2365415913797915,0.1361211585532873,0.1055594664138815
