,SpBLEU_corpus_score,ChrF_corpus_score
Madar26--dza_to_eng,0.3408843817355532,0.5221173812428297
Madar26--egy_to_eng,0.3855361132147595,0.5701104353972352
Madar26--sau_to_eng,0.4581047672041433,0.6225212346708053
Madar26--syr_to_eng,0.3983786470020869,0.5759401755110629
Madar26--eng_to_dza,0.1128283646677996,0.2737908668374376
Madar26--eng_to_egy,0.1264862383726926,0.2835549773553236
Madar26--eng_to_sau,0.1332458081230978,0.3264813017423793
Madar26--eng_to_syr,0.1024302950315424,0.2739483091895346
Madar26--dza_to_msa,0.1591043500268324,0.3452257480820394
Madar26--egy_to_msa,0.1804635726168081,0.3811191496842162
Madar26--sau_to_msa,0.1815119099474319,0.3921629653986148
Madar26--syr_to_msa,0.1799270340365723,0.3799392977727944
Madar26--msa_to_dza,0.0345223191111197,0.1985002202348279
Madar26--msa_to_egy,0.1614973502085861,0.3328618734185353
Madar26--msa_to_sau,0.0843975682985782,0.2943461137545075
Madar26--msa_to_syr,0.085842196400749,0.2882501172866792
Flores200--egy_to_eng,0.3464557825692568,0.5569751026034729
Flores200--sau_to_eng,0.3894486850455425,0.5990439681061803
Flores200--syr_to_eng,0.3750013017704453,0.583251521218558
Flores200--eng_to_egy,0.224610499859844,0.3865542006271289
Flores200--eng_to_sau,0.2937190790124398,0.4646479098170402
Flores200--eng_to_syr,0.2103907185648511,0.4023471081285875
Flores200--egy_to_msa,0.3923341348349184,0.5277240409037898
Flores200--sau_to_msa,0.4612919472619602,0.5978201699877718
Flores200--syr_to_msa,0.3660409209614718,0.5072251155803125
Flores200--msa_to_egy,0.2702893076543949,0.4132451902830036
Flores200--msa_to_sau,0.207737175987556,0.3981741164200786
Flores200--msa_to_syr,0.1513943324516711,0.3418217121514474
