model,genre,dialect,score,prob,dialectness,macro_score
command_r+,HEHE,dza,16.1%,26.1%,30.1%,25.6%
command_r+,HEHE,egy,38.2%,62.2%,46.5%,39.0%
command_r+,HEHE,sau,4.2%,9.3%,23.6%,12.9%
command_r+,HEHE,syr,22.4%,39.4%,36.8%,34.7%
command_r+,Okapi,dza,18.1%,34.7%,36.1%,31.6%
command_r+,Okapi,egy,41.0%,76.7%,45.9%,41.8%
command_r+,Okapi,sau,2.1%,7.2%,19.0%,10.4%
command_r+,Okapi,syr,19.9%,51.3%,30.7%,28.8%
command_r+,ShareGPT,dza,16.8%,35.9%,32.6%,28.5%
command_r+,ShareGPT,egy,38.6%,75.2%,45.7%,38.8%
command_r+,ShareGPT,sau,2.4%,11.6%,21.5%,12.0%
command_r+,ShareGPT,syr,16.6%,42.4%,33.0%,30.8%
command_r+_base,HEHE,dza,10.4%,19.3%,27.2%,17.9%
command_r+_base,HEHE,egy,34.1%,51.8%,42.3%,34.3%
command_r+_base,HEHE,sau,4.0%,10.2%,21.6%,12.1%
command_r+_base,HEHE,syr,11.3%,19.0%,28.6%,24.4%
command_r+_base,Okapi,dza,13.4%,26.8%,27.9%,21.3%
command_r+_base,Okapi,egy,32.8%,64.2%,37.2%,32.8%
command_r+_base,Okapi,sau,1.7%,6.3%,17.2%,6.9%
command_r+_base,Okapi,syr,10.6%,21.8%,29.6%,25.8%
command_r+_base,ShareGPT,dza,13.1%,21.6%,40.2%,26.5%
command_r+_base,ShareGPT,egy,31.5%,58.6%,46.0%,31.6%
command_r+_base,ShareGPT,sau,3.5%,12.3%,27.1%,14.2%
command_r+_base,ShareGPT,syr,12.8%,25.7%,36.4%,34.6%
