,score,prob,dialectness,macro_score
BTEC--dza,0.0715977083205193,0.2430546153557952,0.1159716692753136,0.1075994650326192
BTEC--egy,0.1427252036863828,0.3345735621606582,0.1839341652020812,0.151088760046485
BTEC--sau,0.0099998570161547,0.0837724157981574,0.0419122822582721,0.0362195876551623
BTEC--syr,0.060760309902077,0.1784591144154546,0.2102180282305926,0.1660529235768829
BTEC--mar,0.1227178669311011,0.533992185977695,0.1299578571785241,0.1234100452983104
BTEC--pse,0.0243431563030558,0.1235968216508626,0.1035877745971083,0.0853046957537425
BTEC--sdn,0.0338582224755121,0.200655870612245,0.073503894964233,0.0383156877531274
FLORES--egy,0.137857227432611,0.3088071391388075,0.1524117520358413,0.1383350447721613
FLORES--sau,4.442638987827664e-05,0.0440842368663288,0.0020717448554933,0.0006458832368257
FLORES--syr,0.0239621294828367,0.0985253582108998,0.1147316282149404,0.0784043083635506
FLORES--mar,0.0685002489481141,0.2899592917459085,0.0736442649271339,0.0716187565332212
FLORES--pse,0.0040375975744102,0.0486719228330184,0.0305075102020055,0.0179255336950927
HABIBI--dza,0.0396149800910059,0.2961721956828909,0.1091359810068689,0.0719749613657231
HABIBI--egy,0.1490588206064195,0.3478575124649796,0.2176848495937884,0.1507086759512736
HABIBI--sau,0.0055057619568993,0.0490329791174735,0.0737896007392555,0.0521180916286871
HABIBI--syr,0.0413268551380875,0.1140943020001577,0.2396107019390911,0.1115696716192404
HABIBI--kwt,0.0011569068442161,0.010307934419834,0.0832672859448939,0.0600966894573526
HABIBI--mar,0.0410795353930109,0.4250218508730177,0.090803262386471,0.0604635587447427
HABIBI--pse,0.0064186282764274,0.0401747172581963,0.1288179831030086,0.021856061548193
HABIBI--sdn,0.0076336677217437,0.096214704798229,0.0641795605401037,0.02300656760797
TWEET--dza,0.0939939854985433,0.459748702441575,0.1137084313295781,0.1033015721623437
TWEET--egy,0.203294044695861,0.460525194707443,0.2471959438361227,0.2044798239331878
TWEET--sau,0.0347829325791278,0.3314497585121717,0.0745596146956086,0.066643787958864
TWEET--syr,0.0860728497692447,0.3810204652772518,0.1690979543235153,0.1394229692850984
TWEET--kwt,0.0064998915595797,0.0450326317566214,0.11055245003663,0.098779145185676
TWEET--mar,0.0933589970184858,0.6142875842261128,0.1099985724687576,0.1047005086007717
TWEET--pse,0.0449057718667143,0.3433890983005404,0.0986923150438815,0.0718171835697943
TWEET--sdn,0.0793797331017235,0.4146000285207992,0.1142693707719445,0.0856670330248002
