,SpBLEU_corpus_score,ChrF_corpus_score
Madar26--dza_to_eng,0.3915595806585897,0.564711311275339
Madar26--egy_to_eng,0.4540320675816868,0.6230079795804742
Madar26--sau_to_eng,0.5407963574959728,0.6861184603109994
Madar26--syr_to_eng,0.4958764035146493,0.6460660532092191
Madar26--eng_to_dza,0.2371221846642746,0.3829979129040515
Madar26--eng_to_egy,0.2920036246395943,0.4485830834438254
Madar26--eng_to_sau,0.3015749099310801,0.4566400839673875
Madar26--eng_to_syr,0.3328307319276812,0.4781352377650075
Madar26--dza_to_msa,0.1951488669667565,0.3953293451287233
Madar26--egy_to_msa,0.2307726356496217,0.4335550316721446
Madar26--sau_to_msa,0.2485497728934066,0.4521378506558504
Madar26--syr_to_msa,0.2488859511450144,0.4443215282738787
Madar26--msa_to_dza,0.1842606234417372,0.3323151732601349
Madar26--msa_to_egy,0.281389260079027,0.4379890516622663
Madar26--msa_to_sau,0.2600360607196016,0.4345919039295509
Madar26--msa_to_syr,0.2809699236347415,0.4391992313807918
Flores200--egy_to_eng,0.3775200355024488,0.5893256227885517
Flores200--sau_to_eng,0.4392812061081022,0.6456189250330123
Flores200--syr_to_eng,0.4249688144387519,0.6294399560950376
Flores200--eng_to_egy,0.3023690899748801,0.445005268803401
Flores200--eng_to_sau,0.3965843470537203,0.5311645895246987
Flores200--eng_to_syr,0.33660358872063,0.4872254822622894
Flores200--egy_to_msa,0.5139927449373956,0.6254533474349884
Flores200--sau_to_msa,0.8660155906614486,0.9062920879467
Flores200--syr_to_msa,0.4190048954520092,0.5488811550483712
Flores200--msa_to_egy,0.4656716265458426,0.5766390113265264
Flores200--msa_to_sau,0.5389205142725519,0.636786200191235
Flores200--msa_to_syr,0.3646514183571457,0.5030451677234448
