,score,prob,dialectness,macro_score
HEHE--dza,0.0115127894623001,0.1239650897638204,0.0442705487813612,0.0292509767427501
HEHE--egy,0.0101012654444879,0.1393812089820975,0.0254730695877412,0.0102110326816354
HEHE--sau,0.0016283417143602,0.0583761858452826,0.0102332030714611,0.0043448388448362
HEHE--syr,0.0034708217821925,0.1114421328347449,0.0308595882126628,0.0053507910802382
HEHE--kwt,0.0002015753338043,0.0542826488022598,0.0104922712263133,0.0014775860782235
HEHE--mar,0.0165222598876261,0.0912111655954798,0.0401827480004291,0.0190590537447575
HEHE--pse,0.0039802168200257,0.1187160788224469,0.0200851524267533,0.0046561896193195
HEHE--sdn,0.0188085744685377,0.1244773670979258,0.0425609053686411,0.030883975501751
Okapi--dza,0.008418941044789,0.1293707141373306,0.0337466354481875,0.0160695494117701
Okapi--egy,0.0054552156724375,0.1154596019216114,0.0061506425123661,0.0054790823894328
Okapi--sau,0.0002266459579886,0.0684218661533668,0.0003424756601452,0.0003236583983372
Okapi--syr,0.0010673320829242,0.1102136067184619,0.00266042903997,0.0017255036575565
Okapi--kwt,0.0009774052664435,0.1020577527955174,0.0014745732024312,0.0013638898301981
Okapi--mar,0.0095699874345755,0.1178988825413398,0.0185323468875139,0.0102694421575801
Okapi--pse,0.0007484532452103,0.1145300160092301,0.0008038878068327,0.0007652181406624
Okapi--sdn,0.005749844187164,0.1474906971491873,0.011726501006633,0.0064132187550736
ShareGPT--dza,0.0045187032638137,0.0548455695770098,0.0260457352921366,0.0168742378924844
ShareGPT--egy,0.0082263910328823,0.1380948798503959,0.010085729882121,0.0082521489155225
ShareGPT--sau,0.0004616464656395,0.0662271399935707,0.0014670715015381,0.0013523346256274
ShareGPT--syr,0.0007924247838554,0.0366000797064043,0.0049350174516439,0.0024919197640453
ShareGPT--kwt,0.0012011293620941,0.0728949356992961,0.0068821125943213,0.0034405468626597
ShareGPT--mar,0.0284955254281613,0.1819422755204141,0.0666779200173914,0.0339620112679569
ShareGPT--pse,0.0014365850611273,0.11679096473963,0.0071611634548753,0.0034825813898843
ShareGPT--sdn,0.0069145439743536,0.0609053610113915,0.0175695948302745,0.0119608545365113
