,score,prob,dialectness,macro_score
BTEC--dza,0.171659963071231,0.2908867692876083,0.5189602150674909,0.3947312026845339
BTEC--egy,0.4916384170790651,0.6604395976325032,0.5732485959865152,0.4942204082934827
BTEC--sau,0.0213804089637066,0.0721199958247598,0.1456640838086605,0.0927774424952859
BTEC--syr,0.0960951176946687,0.143237589753262,0.4161724746041,0.2293134960677214
BTEC--mar,0.4225734371731227,0.6262018957338296,0.5470781863387674,0.4456782496118063
BTEC--pse,0.0451163304504066,0.1009735071210889,0.2838496149424463,0.1740690776617374
BTEC--sdn,0.1515294349684139,0.2756390261009801,0.3554549708589911,0.2821110049094441
FLORES--egy,0.3592157428327109,0.5936322882154491,0.4515701755415648,0.3785970826577103
FLORES--sau,0.0031858240239505,0.0347023009619442,0.0367906419187784,0.0127645226129532
FLORES--syr,0.0647287875900017,0.1508357140255975,0.2310813650023192,0.153345823332993
FLORES--mar,0.3582849810720491,0.607276189844124,0.4007529920618981,0.3696495206341843
FLORES--pse,0.0142278063302577,0.0753300255609792,0.1543230018857866,0.0854649900107735
HABIBI--dza,0.1246603911798491,0.1753529439089504,0.5283364267570192,0.3372826731156684
HABIBI--egy,0.4725265214228065,0.6166316236997954,0.5794756734650582,0.4783726690475785
HABIBI--sau,0.0193229948605611,0.0475281313707819,0.188166197957471,0.074470939527215
HABIBI--syr,0.0536696494914016,0.0830425569770159,0.409643185371533,0.142005920531577
HABIBI--kwt,0.0116914839665814,0.0183876929437974,0.1927814063895493,0.095218395298848
HABIBI--mar,0.2665629801090847,0.4473946354206418,0.5510618634708225,0.330591026980605
HABIBI--pse,0.0183394643187622,0.0338005457410756,0.3427425493629506,0.0440485884179604
HABIBI--sdn,0.0691368152200374,0.1313233039885138,0.4018598894478493,0.246871496272726
TWEET--dza,0.2706374894663139,0.367384681905969,0.5719860932789743,0.4842353745200938
TWEET--egy,0.5177602824027696,0.6317314489022828,0.6143795878253877,0.5242119730250274
TWEET--sau,0.120406964391589,0.2650998029368929,0.3182062027882784,0.2040578971972245
TWEET--syr,0.1023761478289121,0.2320100697659654,0.3804935012198984,0.2036388682967641
TWEET--kwt,0.0460699931575474,0.0840312490667565,0.2502832229901105,0.153928719291302
TWEET--mar,0.4024013315535296,0.5959993693692377,0.5895145864691586,0.4238511288862895
TWEET--pse,0.1468276995857388,0.3070647378367721,0.3507256863173097,0.2199691130384738
TWEET--sdn,0.1977150644687552,0.3211881682090461,0.4034204330481589,0.3257595793961892
