model,genre,dialect,score,prob,dialectness,macro_score
command_r,BTEC,dza,2.0%,12.8%,12.2%,9.0%
command_r,BTEC,egy,8.6%,21.4%,12.4%,8.7%
command_r,BTEC,sau,1.1%,9.0%,3.6%,2.5%
command_r,BTEC,syr,2.4%,10.6%,10.7%,8.3%
command_r,BTEC,mar,11.8%,32.5%,15.7%,12.0%
command_r,BTEC,pse,1.7%,6.3%,9.2%,5.9%
command_r,BTEC,sdn,1.4%,11.2%,8.0%,5.0%
command_r,FLORES,egy,3.0%,12.1%,3.4%,3.0%
command_r,FLORES,sau,0.0%,2.2%,0.1%,0.0%
command_r,FLORES,syr,0.0%,4.3%,3.5%,0.5%
command_r,FLORES,mar,6.7%,23.7%,7.6%,6.8%
command_r,FLORES,pse,0.2%,4.9%,2.1%,1.2%
command_r,HABIBI,dza,4.4%,20.2%,21.9%,14.5%
command_r,HABIBI,egy,11.2%,28.3%,15.1%,11.4%
command_r,HABIBI,sau,1.0%,5.9%,9.9%,7.3%
command_r,HABIBI,syr,3.8%,8.3%,25.9%,10.2%
command_r,HABIBI,kwt,0.3%,1.2%,10.6%,6.5%
command_r,HABIBI,mar,6.6%,41.2%,14.6%,9.1%
command_r,HABIBI,pse,2.1%,8.3%,14.8%,4.5%
command_r,HABIBI,sdn,0.2%,3.9%,14.0%,6.7%
command_r,TWEET,dza,12.7%,41.6%,23.6%,19.0%
command_r,TWEET,egy,18.1%,36.3%,20.5%,18.2%
command_r,TWEET,sau,4.4%,26.4%,9.4%,7.3%
command_r,TWEET,syr,7.6%,30.1%,13.8%,11.7%
command_r,TWEET,kwt,0.3%,2.7%,10.0%,8.6%
command_r,TWEET,mar,11.4%,57.7%,13.2%,11.6%
command_r,TWEET,pse,4.5%,31.0%,11.3%,7.3%
command_r,TWEET,sdn,3.2%,23.7%,13.6%,10.6%
command_r+,BTEC,dza,8.6%,24.1%,18.1%,15.8%
command_r+,BTEC,egy,12.8%,29.8%,16.5%,13.5%
command_r+,BTEC,sau,1.2%,7.2%,4.6%,3.7%
command_r+,BTEC,syr,10.2%,17.9%,31.1%,24.1%
command_r+,BTEC,mar,14.8%,53.5%,17.2%,14.9%
command_r+,BTEC,pse,1.4%,6.2%,9.5%,6.8%
command_r+,BTEC,sdn,1.1%,14.5%,5.2%,3.9%
command_r+,FLORES,egy,8.2%,20.7%,9.2%,8.2%
command_r+,FLORES,sau,0.0%,2.1%,0.0%,0.0%
command_r+,FLORES,syr,4.4%,12.1%,17.8%,10.8%
command_r+,FLORES,mar,9.6%,39.1%,9.8%,9.7%
command_r+,FLORES,pse,0.3%,5.2%,2.6%,1.8%
command_r+,HABIBI,dza,6.0%,21.2%,24.3%,15.5%
command_r+,HABIBI,egy,13.3%,31.0%,18.9%,13.4%
command_r+,HABIBI,sau,1.1%,5.3%,9.3%,7.0%
command_r+,HABIBI,syr,6.3%,12.3%,34.1%,15.8%
command_r+,HABIBI,kwt,0.7%,1.9%,12.1%,8.4%
command_r+,HABIBI,mar,10.4%,46.2%,13.8%,11.3%
command_r+,HABIBI,pse,3.2%,7.9%,18.3%,8.6%
command_r+,HABIBI,sdn,0.5%,4.9%,10.3%,5.7%
command_r+,TWEET,dza,19.6%,49.7%,26.9%,26.3%
command_r+,TWEET,egy,12.5%,34.9%,15.4%,12.6%
command_r+,TWEET,sau,4.7%,30.5%,9.4%,8.3%
command_r+,TWEET,syr,9.9%,39.9%,22.3%,17.2%
command_r+,TWEET,kwt,1.3%,5.4%,12.2%,10.9%
command_r+,TWEET,mar,11.5%,62.6%,14.5%,13.7%
command_r+,TWEET,pse,3.7%,35.1%,13.4%,8.3%
command_r+,TWEET,sdn,3.2%,25.0%,9.3%,7.6%
gpt-4o,BTEC,dza,7.2%,24.3%,11.6%,10.8%
gpt-4o,BTEC,egy,14.3%,33.5%,18.4%,15.1%
gpt-4o,BTEC,sau,1.0%,8.4%,4.2%,3.6%
gpt-4o,BTEC,syr,6.1%,17.8%,21.0%,16.6%
gpt-4o,BTEC,mar,12.3%,53.4%,13.0%,12.3%
gpt-4o,BTEC,pse,2.4%,12.4%,10.4%,8.5%
gpt-4o,BTEC,sdn,3.4%,20.1%,7.4%,3.8%
gpt-4o,FLORES,egy,13.8%,30.9%,15.2%,13.8%
gpt-4o,FLORES,sau,0.0%,4.4%,0.2%,0.1%
gpt-4o,FLORES,syr,2.4%,9.9%,11.5%,7.8%
gpt-4o,FLORES,mar,6.9%,29.0%,7.4%,7.2%
gpt-4o,FLORES,pse,0.4%,4.9%,3.1%,1.8%
gpt-4o,HABIBI,dza,4.0%,29.6%,10.9%,7.2%
gpt-4o,HABIBI,egy,14.9%,34.8%,21.8%,15.1%
gpt-4o,HABIBI,sau,0.6%,4.9%,7.4%,5.2%
gpt-4o,HABIBI,syr,4.1%,11.4%,24.0%,11.2%
gpt-4o,HABIBI,kwt,0.1%,1.0%,8.3%,6.0%
gpt-4o,HABIBI,mar,4.1%,42.5%,9.1%,6.0%
gpt-4o,HABIBI,pse,0.6%,4.0%,12.9%,2.2%
gpt-4o,HABIBI,sdn,0.8%,9.6%,6.4%,2.3%
