model,genre,dialect,SpBLEU_corpus_score,ChrF_corpus_score
command_r,Madar26,dza_to_eng,34.1%,52.2%
command_r,Madar26,egy_to_eng,38.6%,57.0%
command_r,Madar26,sau_to_eng,45.8%,62.3%
command_r,Madar26,syr_to_eng,39.8%,57.6%
command_r,Madar26,eng_to_dza,11.3%,27.4%
command_r,Madar26,eng_to_egy,12.6%,28.4%
command_r,Madar26,eng_to_sau,13.3%,32.6%
command_r,Madar26,eng_to_syr,10.2%,27.4%
command_r,Madar26,dza_to_msa,15.9%,34.5%
command_r,Madar26,egy_to_msa,18.0%,38.1%
command_r,Madar26,sau_to_msa,18.2%,39.2%
command_r,Madar26,syr_to_msa,18.0%,38.0%
command_r,Madar26,msa_to_dza,3.5%,19.9%
command_r,Madar26,msa_to_egy,16.1%,33.3%
command_r,Madar26,msa_to_sau,8.4%,29.4%
command_r,Madar26,msa_to_syr,8.6%,28.8%
command_r,Flores200,egy_to_eng,34.6%,55.7%
command_r,Flores200,sau_to_eng,38.9%,59.9%
command_r,Flores200,syr_to_eng,37.5%,58.3%
command_r,Flores200,eng_to_egy,22.5%,38.7%
command_r,Flores200,eng_to_sau,29.4%,46.5%
command_r,Flores200,eng_to_syr,21.0%,40.2%
command_r,Flores200,egy_to_msa,39.2%,52.8%
command_r,Flores200,sau_to_msa,46.1%,59.8%
command_r,Flores200,syr_to_msa,36.6%,50.7%
command_r,Flores200,msa_to_egy,27.0%,41.3%
command_r,Flores200,msa_to_sau,20.8%,39.8%
command_r,Flores200,msa_to_syr,15.1%,34.2%
command_r+,Madar26,dza_to_eng,38.3%,55.2%
command_r+,Madar26,egy_to_eng,44.9%,62.0%
command_r+,Madar26,sau_to_eng,52.5%,67.5%
command_r+,Madar26,syr_to_eng,46.3%,62.3%
command_r+,Madar26,eng_to_dza,14.4%,31.1%
command_r+,Madar26,eng_to_egy,22.9%,37.4%
command_r+,Madar26,eng_to_sau,22.7%,38.8%
command_r+,Madar26,eng_to_syr,18.0%,32.9%
command_r+,Madar26,dza_to_msa,18.6%,38.7%
command_r+,Madar26,egy_to_msa,23.2%,42.6%
command_r+,Madar26,sau_to_msa,23.4%,45.0%
command_r+,Madar26,syr_to_msa,24.0%,43.4%
command_r+,Madar26,msa_to_dza,11.7%,31.3%
command_r+,Madar26,msa_to_egy,23.8%,39.4%
command_r+,Madar26,msa_to_sau,14.1%,34.7%
command_r+,Madar26,msa_to_syr,20.6%,39.2%
command_r+,Flores200,egy_to_eng,37.3%,58.5%
command_r+,Flores200,sau_to_eng,45.1%,64.8%
