,score,prob,dialectness,macro_score
BTEC--dza,0.026363047546493,0.0417101788078434,0.1367005438636988,0.0956065979896157
BTEC--egy,0.0401501675211813,0.0661155311824404,0.0573891882039606,0.0402464166566985
BTEC--sau,0.0172293733475671,0.0668708868647809,0.0463553440198302,0.0332913024344877
BTEC--syr,0.009468448286939,0.0174932843405986,0.0677062652539461,0.0249235801736463
BTEC--mar,0.0439919165012885,0.0713867386337369,0.0621353576891124,0.0522181916207588
BTEC--pse,0.0342744333419129,0.0635043732725898,0.116524957595393,0.0672035078791557
BTEC--sdn,0.0172075529295241,0.0728129909813287,0.0672875116439536,0.0298044538073684
FLORES--egy,0.0081847333132678,0.0257506671937881,0.0168414330482482,0.008440133229785
FLORES--sau,0.0007682492272559,0.0261300268396735,0.003471962083131,0.0029680314682801
FLORES--syr,2.0492612075950907e-05,0.0067278773221187,0.0067271207738667,0.0001613957451743
FLORES--mar,0.0454830502571637,0.0967662112182006,0.0539436022378504,0.0485512984750342
FLORES--pse,0.0065123594121887,0.0244057426054496,0.0303561548469588,0.0150897146897894
HABIBI--dza,0.0264410888886834,0.0593503474581708,0.1509985688260232,0.1232920279441676
HABIBI--egy,0.0246386946176555,0.0477420577150769,0.0420205414481461,0.0246820821957444
HABIBI--sau,0.0061866088691102,0.0363716898439452,0.0678719284199178,0.0407612768226545
HABIBI--syr,0.0145692754215693,0.0202746472880244,0.0772755406796932,0.0348379780861283
HABIBI--kwt,0.000599544460839,0.0025998589071969,0.1165339559037238,0.0427655199034049
HABIBI--mar,0.0905092980699366,0.203730592597858,0.1339410841558128,0.1015322405332333
HABIBI--pse,0.0128040764861247,0.0313680378678374,0.2005067013072757,0.0485701664855061
HABIBI--sdn,0.0027837699060697,0.01099408689482,0.1702121938678926,0.0722581233002573
TWEET--dza,0.0162805943945295,0.0316985349368769,0.0866569788567721,0.0654163723910813
TWEET--egy,0.0126554764518516,0.0282322029292117,0.0203912997245788,0.0126823745483223
TWEET--sau,0.0023841268311242,0.0199319546855986,0.0046412095427513,0.0030015173662507
TWEET--syr,1.0787100188872078e-05,0.0007219576335046,0.0092448472976684,0.0001101243133554
TWEET--kwt,0.0212250669449411,0.0294872261457203,0.0584543273877352,0.043239507798519
TWEET--mar,0.0406672595824974,0.0610279715433716,0.0481629770994186,0.0447910120126278
TWEET--pse,0.0053103465234905,0.0231702961516566,0.0247043353551998,0.0075692003747779
TWEET--sdn,0.0055409278930538,0.0223507840455567,0.0303885434707626,0.014192993988663
