,prompt,language,source
0,"""ولا استناك و لا"" عايز رد جذاب تكون الجملة دي فيه هي الأساس.",Egyptian Arabic,HABIBI
1,"هيأثر عليك ازاي ""لو بايعني لسه قلبي مشتريك"" لو حد قلك كدا؟",Egyptian Arabic,HABIBI
2,"""بقول لنفسي ما تحاولي تنسي ماقدرت علي النسيان"" عايز رد جذاب تكون الجملة دي فيه هي الأساس.",Egyptian Arabic,HABIBI
3,"ايه نوع الناس اللي الجملة دي معموله عشانه؟ ""صالحت بيك ايامي"" اشرح اجابتك",Egyptian Arabic,HABIBI
4,"ايه نوع الناس اللي الجملة دي معموله عشانه؟ ""الحب زاد و لا البعاد"" اشرح اجابتك",Egyptian Arabic,HABIBI
5,"عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع: ""ارجعلك يعني حرقة دم .. اسمعلك كل كلامك هم""",Egyptian Arabic,HABIBI
6,"عايز رد جذاب قايم على الجملة دي: ""ليه ما قابلتش هواك يا حبيبي بدري""",Egyptian Arabic,HABIBI
7,"اكتب سؤال امتحان مقالي مناسب بناءً على الجملة دي: ""حبيتك قوي و القلب القوي اهو راح عندك مش جاي""",Egyptian Arabic,HABIBI
8,"عيد صياغة دا بألفاظك بس يكون المعنى الأصلي موجود: ""عايزانى يااااه .. تانى لااا .. في غيرك انا عنده اهم""",Egyptian Arabic,HABIBI
9,"""انت فين يا حبيبي يا ترى"" عايز رد جذاب قايم على الجملة دي.",Egyptian Arabic,HABIBI
10,"""نفسي اشوفك نفسي"" رد على الكلام ده.",Egyptian Arabic,HABIBI
11,"اكتب قصة بتبدأ بالسطر ده: ""خدني لحنانك خدني""",Egyptian Arabic,HABIBI
12,"اكتب قصة بتبدأ بالسطر ده: ""كل دا معقول مانتش حاسس بأهميتي""",Egyptian Arabic,HABIBI
13,"ايه نوع الناس اللي الجملة دي معموله عشانه؟ ""خلى الغرام ولا"" اشرح اجابتك",Egyptian Arabic,HABIBI
14,"عايز رد جذاب تكون الجملة دي فيه هي الأساس: ""بضحكه هواااه2""",Egyptian Arabic,HABIBI
15,"عيد صياغة دا بألفاظك بس يكون المعنى الأصلي موجود: ""فاكر سنيني ولا""",Egyptian Arabic,HABIBI
16,"""كل دا معقول مانتش حاسس بأهميتي"" عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع.",Egyptian Arabic,HABIBI
17,"عايز رد جذاب قايم على الجملة دي: ""حزين ولا سعيد ولا""",Egyptian Arabic,HABIBI
18,"""سايباك ع راحتك واهي فرصه اننا نوحش بعض"" عيد صياغة دا بألفاظك بس يكون المعنى الأصلي موجود.",Egyptian Arabic,HABIBI
19,"هيأثر عليك ازاي ""مجروحة وانا مسمحاك ليه قلبي عليا معاك فكراك وكمان ما كدبش عليك انا بهرب منك ليك"" لو حد قلك كدا؟",Egyptian Arabic,HABIBI
20,"عايز رد جذاب تكون الجملة دي فيه هي الأساس: ""وانا شايفاه بجد ان انت ضعيف اوي م نحيتي""",Egyptian Arabic,HABIBI
21,"عايز رد جذاب قايم على الجملة دي: ""هات عنيك تسرح في دنيتهم عنيه""",Egyptian Arabic,HABIBI
22,"اكتب سؤال امتحان مقالي مناسب بناءً على ""بعيد بعيد أنا وانت""",Egyptian Arabic,HABIBI
23,"اكتب قصة بتبدأ بالسطر ده: ""ولا شاف القلب قبلك فرحة واحدة""",Egyptian Arabic,HABIBI
24,"""فكراك فكراك"" دا هيأثر عليك ازاي, لو حد قلك كدا؟",Egyptian Arabic,HABIBI
25,"عيد صياغة ""ولا ذاق في الدنيا غير طعم الجراح"" بألفاظك بس يكون المعنى الأصلي موجود.",Egyptian Arabic,HABIBI
26,"عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع: ""نحس سعتها ان البعد ريحنا ونتعود ولا نهتم قلوبنا فى الهوا نصيبها""",Egyptian Arabic,HABIBI
27,"""قلبك نسيني ولا"" عيد صياغة دا بألفاظك بس يكون المعنى الأصلي موجود.",Egyptian Arabic,HABIBI
28,"هيأثر عليك ازاي ""قريب و لا بعيد ولا"" لو حد قلك كدا؟",Egyptian Arabic,HABIBI
29,"عيد كتابة ""يا ترى يا حبيبي ياترى اه"" عشان تبقى مناسبة لجمهور أوسع.",Egyptian Arabic,HABIBI
30,"""هتلاقي فين تاني ف حنيتي او طيبتي وسلامه نيتي"" ايه نوع الناس اللي الجملة دي معموله عشانه؟ اشرح اجابتك",Egyptian Arabic,HABIBI
31,"رد على اي كلام بيبتدي كده: ""اللي شفته قبل ما تشوفك عنيه""",Egyptian Arabic,HABIBI
32,"""علموني أندم على الماضي وجراحه"" عايز رد جذاب قايم على الجملة دي.",Egyptian Arabic,HABIBI
33,"دا هيأثر عليك ازاي, لو حد قلك كدا؟ ""حزين و لا سعيد ولا""",Egyptian Arabic,HABIBI
34,"اكتب سؤال امتحان مقالي مناسب بناءً على ""ذوق معايا الحب ذوق حبه بحبه""",Egyptian Arabic,HABIBI
35,"عيد صياغة دا بألفاظك بس يكون المعنى الأصلي موجود: ""وتعيشلك كام يوم من غيري وتعيد حساباتك""",Egyptian Arabic,HABIBI
36,"اكتب سؤال امتحان مقالي مناسب بناءً على الجملة دي: ""عايزانى يااااه .. تانى لااا .. في غيرك انا عنده اهم""",Egyptian Arabic,HABIBI
37,"""فكراك فكراك"" عايز رد جذاب قايم على الجملة دي.",Egyptian Arabic,HABIBI
38,"اكتب سؤال امتحان مقالي مناسب بناءً على الجملة دي: ""بنتقابل وتيجى عيونا فى عيون بعض ونتكلم نلاقى ان احنا نشبة بعض""",Egyptian Arabic,HABIBI
39,"عايز رد جذاب قايم على الجملة دي: ""هتقابل قد ماهتقابل وانا بردو الاصل""",Egyptian Arabic,HABIBI
40,"رد على الكلام ده: ""نفسي اشوفك نفسي""",Egyptian Arabic,HABIBI
41,"""راجع لي ثاني و لا"" عايز رد جذاب قايم على الجملة دي.",Egyptian Arabic,HABIBI
42,"""فريب ولا بعيد و لا"" عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع.",Egyptian Arabic,HABIBI
43,"""اللي شفته قبل ما تشوفك عنيه"" عايز رد جذاب تكون الجملة دي فيه هي الأساس.",Egyptian Arabic,HABIBI
44,"دا هيأثر عليك ازاي, لو حد قلك كدا؟ ""انت عمري""",Egyptian Arabic,HABIBI
45,"""قدرنا اصلة مش صدفة"" كمل الحتة دي في شكل قصة.",Egyptian Arabic,HABIBI
46,"""فكراك فكراك"" كمل الحتة دي في شكل قصة.",Egyptian Arabic,HABIBI
47,"""علموني أندم على الماضي وجراحه"" عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع.",Egyptian Arabic,HABIBI
48,"""مجروحة وانا مسمحاك"" عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع.",Egyptian Arabic,HABIBI
