,prompt,language,source
0,"""القاه انا من وين"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة",Kuwaiti Arabic,HABIBI
1,"عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس: ""نسى كلشي وماسال""",Kuwaiti Arabic,HABIBI
2,"""قلبي لوا ادموع العين"" اكتبلي قصة تبتدي بهذي الجملة",Kuwaiti Arabic,HABIBI
3,"شنو تأثير هذا إذا أحد قاله لك؟: ""يومك قريب من عيوني واشوفك""",Kuwaiti Arabic,HABIBI
4,"""وأنسى رداك وعشرتك وما أهتم في شؤونك"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي",Kuwaiti Arabic,HABIBI
5,"عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس: ""مثل الذهب صافي أنا مثل الذهب وياك""",Kuwaiti Arabic,HABIBI
6,"عيد كتابة هذا باسلوبك الخاص،  لكن حافظ على المعنى الأصلي: ""آسف آسف""",Kuwaiti Arabic,HABIBI
7,"""عساك بخير .. عساك بخير"" رد على هالنقاش",Kuwaiti Arabic,HABIBI
8,"شنو تأثير ""مطر أخفاها ضوا النجوم"" إذا أحد قاله لك؟",Kuwaiti Arabic,HABIBI
9,"""من وين من وين"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي",Kuwaiti Arabic,HABIBI
10,"""شالحل معاها شالحال"" عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس",Kuwaiti Arabic,HABIBI
11,"شنو تأثير ""ودان واليل دان دانه ودانه حبيبي.."" إذا أحد قاله لك؟",Kuwaiti Arabic,HABIBI
12,"""مستحيل افكر بأحد غيرك وفـ حب جديـــــــــــد"" اكتبلي قصة تبتدي بهذي الجملة",Kuwaiti Arabic,HABIBI
13,"""من يوم غاب وراح"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي",Kuwaiti Arabic,HABIBI
14,"عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي: ""تعبني وخلاني""",Kuwaiti Arabic,HABIBI
15,"عيد كتابة ""شالحل معاها شالحال"" باسلوبك الخاص،  لكن حافظ على المعنى الأصلي",Kuwaiti Arabic,HABIBI
16,"عيد كتابة ""انت عالبال يا عيوني غيرك ما طال جفونـــــــي"" بحيث تكون مناسبة لأغلب الناس",Kuwaiti Arabic,HABIBI
17,"عيد كتابة ""محتاج هواا"" بحيث تكون مناسبة لأغلب الناس",Kuwaiti Arabic,HABIBI
18,"""يا نو عيوني مهما يلوموني حبك غير بعينـــــــــــي والله"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة",Kuwaiti Arabic,HABIBI
19,"""يبوه بلحال"" عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس",Kuwaiti Arabic,HABIBI
20,"عيد كتابة هذا باسلوبك الخاص،  لكن حافظ على المعنى الأصلي: ""انت عالبال يا عيوني غيرك ما طال جفونـــــــي""",Kuwaiti Arabic,HABIBI
21,"عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي: ""انا لو رحت للجنة ابيك وياي وانت عارف""",Kuwaiti Arabic,HABIBI
22,"""مدري جفا والا قسى الحب خوفك"" رد على هالنقاش",Kuwaiti Arabic,HABIBI
23,"عيد كتابة ""آسف آسف"" باسلوبك الخاص،  لكن حافظ على المعنى الأصلي",Kuwaiti Arabic,HABIBI
24,"اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة: ""والوله بلقلب حراق""",Kuwaiti Arabic,HABIBI
25,"اكتبلي قصة تبتدي بهذي الجملة: ""ما ابي انحرم منك تضيع مني هالعواطف""",Kuwaiti Arabic,HABIBI
