,prompt,language,source
0,"""يوم رايتك حسيت باني"" كمل المقطع دا كقصة",Sudanese Arabic,HABIBI
1,"""دي الدنيا أم جنة عدن"" اكتب قصة بتبدأ بالسطر دا",Sudanese Arabic,HABIBI
2,"عيد كتابة ""مانعنى الوصال"" عشان تكون مناسبة اكتر للناس",Sudanese Arabic,HABIBI
3,"اكتب قصة بتبدأ بالسطر دا: ""الله يغفر ليك من ضياع ريدنا""",Sudanese Arabic,HABIBI
4,"صيغ دا بكلامك الخاص، و حافظ على المعنى الاصلي: ""من جديد انا اتولدته""",Sudanese Arabic,HABIBI
5,"""والعيون خلتني اسكر"" عيد كتابة الجملة عشان تكون مناسبة اكتر للناس",Sudanese Arabic,HABIBI
6,"""وغصون الروض يتمايسن"" صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي",Sudanese Arabic,HABIBI
7,"جاوب على الموضوع: ""اقيس محاسنك بمن""",Sudanese Arabic,HABIBI
8,"""انا ما نسيتو ودعت الحبيب وبكيت"" صيغ دا بكلامك الخاص، و حافظ على المعنى الاصلي",Sudanese Arabic,HABIBI
9,"صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي: ""أنا ما نسيتو ودعت الحبيب وبكيت ..""",Sudanese Arabic,HABIBI
10,"""بدور الكون لوينصفن"" صيغ دا بكلامك الخاص، و حافظ على المعنى الاصلي",Sudanese Arabic,HABIBI
11,"صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي: ""قلنا للقمرة سافري من بكرة""",Sudanese Arabic,HABIBI
12,"""الغمام خش والمطر رش"" عيد كتابة الجملة عشان تكون مناسبة اكتر للناس",Sudanese Arabic,HABIBI
13,"عيد كتابة الجملة عشان تكون مناسبة اكتر للناس: ""لو مغالطنا ما مصدقنا""",Sudanese Arabic,HABIBI
14,"رد على موضوع ببدأ بـ""وروحي وحنانا رفعتك في اسما مكانة يلا حبك اصر علية يا حبيبى يسحروك لية""",Sudanese Arabic,HABIBI
15,"صيغ دا بكلامك الخاص، و حافظ على المعنى الاصلي: ""والله نور عيني نور الزمن""",Sudanese Arabic,HABIBI
16,"""خاينة يا دنيا وظالمة يا دنيا"" كمل المقطع دا كقصة",Sudanese Arabic,HABIBI
17,"جاوب على الموضوع: ""مانعنى الوصال ،مانعى الوصال""",Sudanese Arabic,HABIBI
18,"صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي: ""لو عارف عيونك توهت العيون رقصت المشاعر غني معاها كون""",Sudanese Arabic,HABIBI
19,"الدلالات  الحاجة دي شنو لو في زول قالها لك؟: ""حلال سحرك ماسحر فن""",Sudanese Arabic,HABIBI
20,"الدلالات  الحاجة دي شنو لو في زول قالها لك؟: ""روضك زي عارضين صفن""",Sudanese Arabic,HABIBI
21,"""وكل حُسن مالك حَسن"" كمل المقطع دا كقصة",Sudanese Arabic,HABIBI
22,"اكتب قصة بتبدأ بالسطر دا: ""فيك عيون الرائين يرن""",Sudanese Arabic,HABIBI
23,"عيد كتابة الجملة عشان تكون مناسبة اكتر للناس: ""انا فيكي تهتا برضي تهتا""",Sudanese Arabic,HABIBI
24,"ما هو الجمهور المناسب للجملة من النوع دا؟ ""يسجدن ليك مايكون وفن"" برر اجابتك",Sudanese Arabic,HABIBI
25,"""مع البدرين سيرك سرن"" جاوب على الموضوع",Sudanese Arabic,HABIBI
26,"عيد كتابة ""ومهما أفكارهم يكبرن"" عشان تكون مناسبة اكتر للناس",Sudanese Arabic,HABIBI
27,"عيد كتابة الجملة عشان تكون مناسبة اكتر للناس: ""انا ما نسيتو .. ودعت الحبيب وبكيت""",Sudanese Arabic,HABIBI
