,prompt,language,source
0,"رد على نفس النسق: ""ولو غبتي لحظة من قبالي""",Syrian Arabic,HABIBI
1,"رجاع صيغ ""كل البشر خلقان من ادم وحوا"" بطريقتك وخلي المعنى العام متل ما هو",Syrian Arabic,HABIBI
2,"""بدي تحبيني وتموتي فيني"" اكتوب قصة بتبلش بهالسطر",Syrian Arabic,HABIBI
3,"رد على النسق يلي ببلش هيك: ""كيف بقدر شوفا حدي""",Syrian Arabic,HABIBI
4,"كمل هالقسم بقصة: ""مر الشتي والصيفية وبعده عم يعذب فيي""",Syrian Arabic,HABIBI
5,"""آآآآآآآآه .. آآآآه"" شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟",Syrian Arabic,HABIBI
6,"رجاع كتوب هلجملة بطريقة تناسب العوام أكتر: ""امحي فيهن أيّ حزن تاني""",Syrian Arabic,HABIBI
7,"رجاع صيغ ""اجرحلي قلبي ولا تداوية امشي على جرحي ولا تدارية"" بطريقتك وخلي المعنى العام متل ما هو",Syrian Arabic,HABIBI
8,"رجاع كتوب ""ما تخلي حبه يمحيكي لازم تنسيه"" بطريقة تناسب العوام أكتر",Syrian Arabic,HABIBI
9,"رد بطريقة إبداعية بيتضمن هالجملة كعنصر أساسي: ""أصلي وما في متله لك كل شي بيلبقله""",Syrian Arabic,HABIBI
10,"رد على نفس النسق: ""أنتي ملاك هربان من الجنة من جوا""",Syrian Arabic,HABIBI
11,"شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟: ""لـبـعـتلك رســالـة يـالـي سـكـنتي iiبـالـي عـــن حــالـي لـكـتـبها وابـعـتها iiلـحـالي""",Syrian Arabic,HABIBI
12,"بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة: ""مفارقني وغيابك عني طلوع الروح""",Syrian Arabic,HABIBI
13,"كمل هالقسم بقصة: ""وتعا حبك تعا عم قلك تعا""",Syrian Arabic,HABIBI
14,"اكتوب قصة بتبلش بهالسطر: ""ولو ضدي العالم كله عنك لا ما بتخلا""",Syrian Arabic,HABIBI
15,"شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟: ""حتى الشمس بنهار خجلانة بوجودك""",Syrian Arabic,HABIBI
16,"رجاع صيغ هاد بطريقتك وخلي المعنى العام متل ما هو: ""حتى يطلع فجر جديد وبستناه""",Syrian Arabic,HABIBI
17,"""كل البشر من طين إلا أنتي من سكر"" اكتوب قصة بتبلش بهالسطر",Syrian Arabic,HABIBI
18,"رجاع كتوب ""لما سألت ليش مفارق ما رديت"" بطريقة تناسب العوام أكتر",Syrian Arabic,HABIBI
19,"""والثوب الزهري موتني بقهري"" اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي",Syrian Arabic,HABIBI
20,"رجاع كتوب هلجملة بطريقة تناسب العوام أكتر: ""يا ريتني نسمة وعبلادك فيها تروح""",Syrian Arabic,HABIBI
21,"رد بطريقة إبداعية بيتضمن هالجملة كعنصر أساسي: ""عن قصة عاشق غير الكل نطقت هيي الكلام""",Syrian Arabic,HABIBI
22,"رجاع صيغ ""أنـا قـلبي ضـيع دربـه قـالوا عندك iiحبه ما تــردي لـه قــلـبـه مــنــه لا iiتـنـشـالي"" بطريقتك وخلي المعنى العام متل ما هو",Syrian Arabic,HABIBI
23,"شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟: ""عيوني خلص ماضلّ فيها دموع""",Syrian Arabic,HABIBI
24,"""والثوب النيلي ضلي مقابيلي"" رجاع كتوب هلجملة بطريقة تناسب العوام أكتر",Syrian Arabic,HABIBI
25,"رد بطريقة إبداعية بيتضمن هالجملة كعنصر أساسي: ""كل شي مضى ماله لحياتي رجوع""",Syrian Arabic,HABIBI
26,"""مابدي اعمل شى تانى بدي احبك ويصيرو بيتي"" رد على نفس النسق",Syrian Arabic,HABIBI
27,"اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي: ""كل الورد بيغار من حمرة خدودك""",Syrian Arabic,HABIBI
28,"اكتوب قصة بتبلش بهالسطر: ""انا حبيتك شو اتمنيتك""",Syrian Arabic,HABIBI
29,"رجاع صيغ ""حتى الدهب والماس من طلتك دابو"" بطريقتك وخلي المعنى العام متل ما هو",Syrian Arabic,HABIBI
30,"رجاع صيغ هاد بطريقتك وخلي المعنى العام متل ما هو: ""شو بحس بدفى حضنا""",Syrian Arabic,HABIBI
31,"رجاع صيغ ""يقلي جوري ماتنسيني ملآنة بفي التين"" بطريقتك وخلي المعنى العام متل ما هو",Syrian Arabic,HABIBI
32,"شو الآثار يلي بتترتب على ""صليت ياما كتير ت لاقيك"", إذا حدا حكالك هيك؟",Syrian Arabic,HABIBI
33,"""كل الورد بيغار من حمرة خدودك"" شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟",Syrian Arabic,HABIBI
34,"""وفي ورقه غفيت بين الفل مقدر الها النسيان"" شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟",Syrian Arabic,HABIBI
35,"""خبيت الغصة بقلبيبي وانت مشيت"" اكتوب قصة بتبلش بهالسطر",Syrian Arabic,HABIBI
36,"اكتوب قصة بتبلش بهالسطر: ""شو سهل الحكي .. مين اللي بيعرف بقلب التاني شو فيه""",Syrian Arabic,HABIBI
37,"شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟: ""هزي بخصرك هزي سهم بقلبي غزي""",Syrian Arabic,HABIBI
38,"""انا الك شو ما يقولو انا الك انت الملك على قلبي انت الملك"" شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟",Syrian Arabic,HABIBI
39,"رد بطريقة إبداعية بيتضمن هالجملة كعنصر أساسي: ""ع الفرحة بيرقص قلبا""",Syrian Arabic,HABIBI
40,"""اي اي اي والله بحبك من بعد الله"" عمين بيتوجه نوع هلجملة هاي؟ برر جوابك",Syrian Arabic,HABIBI
41,"شو الآثار يلي بتترتب على ""بتزيد جروحي"", إذا حدا حكالك هيك؟",Syrian Arabic,HABIBI
42,"رجاع كتوب ""ليكـي شو عم يعمل فيك .. لا بيهتم ولا بيحكيكي"" بطريقة تناسب العوام أكتر",Syrian Arabic,HABIBI
43,"رجاع صيغ هاد بطريقتك وخلي المعنى العام متل ما هو: ""قلبي انتصر والحب حنّ ورقّ""",Syrian Arabic,HABIBI
44,"كمل هالقسم بقصة: ""رجع الفرح ع باب بيتي دق""",Syrian Arabic,HABIBI
