Unnamed: 0,songID,Singer,SongTitle,SongWriter,Composer,LyricsOrder,Lyrics,SingerNationality,SongDialect
0.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,1.0,بعدنا خلاص، انا وانت خلاص تايهين ما بين الناس,Palestine,Levantine
1.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,2.0,يا صاحبى لسه قلبي حزين انا وانت,Palestine,Levantine
2.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,3.0,حكاوينا بتشبه بعض لكن لسه,Palestine,Levantine
3.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,4.0,مفيش غلطان سبب فى البعد,Palestine,Levantine
4.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,5.0,حكاوينا بتتكرر وتتبدل أسامينا,Palestine,Levantine
5.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,6.0,وليلنا هو هو الليل لوحدينا,Palestine,Levantine
6.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,7.0,وحابسين روحنا فى جروحنا,Palestine,Levantine
7.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,8.0,ننادى الليل ينادينا,Palestine,Levantine
8.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,9.0,ليه نتباهى بمين سايب ومين متساب,Palestine,Levantine
9.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,10.0,ليه بنعلق قلوبنا بناس تملي غياب,Palestine,Levantine
10.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,11.0,جاوبنا يا ليل وقول الرد,Palestine,Levantine
11.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,12.0,فى غيرنا حاله بيشبهنا,Palestine,Levantine
12.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,13.0,ولا احنا بنشبه بعض,Palestine,Levantine
13.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,14.0,ياليل موجوع، قالولك يا ما وحكولك وشفت دموع,Palestine,Levantine
14.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,15.0,وليك أصحاب كتير غيرنا وايه الموضوع,Palestine,Levantine
15.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,16.0,ده كل الناس فى جرح كبير حتى احنا,Palestine,Levantine
16.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,17.0,بقينا في حزن ما لينا,Palestine,Levantine
17.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,18.0,وبنخبينا في الضحكة وفي اللمة بنتداري,Palestine,Levantine
18.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,19.0,ويجري اليوم فى ضهر اليوم ولسه فى قصة متشاله,Palestine,Levantine
19.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,20.0,ولسه للدموع باقي ولسه الحكي مش خلصان,Palestine,Levantine
20.0,11134.0,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,21.0,ولسه القلب متعلق ما بين مظلوم وبين غلطان,Palestine,Levantine
21.0,14917.0,احمد كامل,شمس بلا نار,غير معروف,غير معروف,1.0,يوم افتح عينى .. بلقانى وحيد,Palestine,Levantine
22.0,14917.0,احمد كامل,شمس بلا نار,غير معروف,غير معروف,2.0,بلا اصحاب .. بلا ارض,Palestine,Levantine
