,songID,Singer,SongTitle,SongWriter,Composer,LyricsOrder,Lyrics,SingerNationality,SongDialect
0,25794,ابراهيم دشتي,هب السعد,غير معروف,غير معروف,1,هلت القمرة علينا من شمال ومن جنوب,Kuwait,Gulf
1,25794,ابراهيم دشتي,هب السعد,غير معروف,غير معروف,2,نورها نور علينا مثل هبات الهبوب,Kuwait,Gulf
2,25794,ابراهيم دشتي,هب السعد,غير معروف,غير معروف,3,هب السعد هبايب الرياحي,Kuwait,Gulf
3,25794,ابراهيم دشتي,هب السعد,غير معروف,غير معروف,4,يا شاريه العباد والصلاحي,Kuwait,Gulf
4,25794,ابراهيم دشتي,هب السعد,غير معروف,غير معروف,5,شهبت قرتها بهوى السهيل البازج,Kuwait,Gulf
5,25794,ابراهيم دشتي,هب السعد,غير معروف,غير معروف,6,قطن يديد الما هوى الميزاني,Kuwait,Gulf
6,1364,الانين,اذا عصبت,غير معروف,غير معروف,1,إذا عصبت اقول أشياء ما أقصدها أنا آسف,Kuwait,Gulf
7,1364,الانين,اذا عصبت,غير معروف,غير معروف,2,وأنت من تهاتيني ولا عمرك زعلت مني,Kuwait,Gulf
8,1364,الانين,اذا عصبت,غير معروف,غير معروف,3,آسف آسف,Kuwait,Gulf
9,1364,الانين,اذا عصبت,غير معروف,غير معروف,4,ما ابي انحرم منك تضيع مني هالعواطف,Kuwait,Gulf
10,1364,الانين,اذا عصبت,غير معروف,غير معروف,5,أبتغير بكون أهدى وإذا أخطيت تحملني,Kuwait,Gulf
11,1364,الانين,اذا عصبت,غير معروف,غير معروف,6,ما ابي أجرحك لو يوم إنت اجرحني مايخالف,Kuwait,Gulf
12,1364,الانين,اذا عصبت,غير معروف,غير معروف,7,"أبعذرك من غير كلمة، هالحب إنت معلمني",Kuwait,Gulf
13,1364,الانين,اذا عصبت,غير معروف,غير معروف,8,انا ما عشت قبل حبك معك يا زين السوالف,Kuwait,Gulf
14,1364,الانين,اذا عصبت,غير معروف,غير معروف,9,احب حبك واحب قلبك واحس انك تكملني,Kuwait,Gulf
15,1364,الانين,اذا عصبت,غير معروف,غير معروف,10,آسف آسف,Kuwait,Gulf
16,1364,الانين,اذا عصبت,غير معروف,غير معروف,11,جعلك ما تنام مجروح ولا تعبان ولا خايف,Kuwait,Gulf
17,1364,الانين,اذا عصبت,غير معروف,غير معروف,12,لو اخسرك شيصير فيني عسى ربي ما يحرمني,Kuwait,Gulf
18,1364,الانين,اذا عصبت,غير معروف,غير معروف,13,يعني مستحيل ارضى بالفرقة وانا حالف,Kuwait,Gulf
19,1364,الانين,اذا عصبت,غير معروف,غير معروف,14,محبتنا تعيش فيني تعيش لو حتى تذبحني,Kuwait,Gulf
20,1364,الانين,اذا عصبت,غير معروف,غير معروف,15,انا لو طحت وسط ظلمة تلقاك جنبي تكون واقف,Kuwait,Gulf
21,1364,الانين,اذا عصبت,غير معروف,غير معروف,16,اتبسم واقول الله ياكيف حبك مذوبني,Kuwait,Gulf
22,1364,الانين,اذا عصبت,غير معروف,غير معروف,17,آسف آسف,Kuwait,Gulf
23,1364,الانين,اذا عصبت,غير معروف,غير معروف,18,انا لو رحت للجنة ابيك وياي وانت عارف,Kuwait,Gulf
24,1364,الانين,اذا عصبت,غير معروف,غير معروف,19,غلا حبك دفا قربك هدية رب منعمني,Kuwait,Gulf
25,1364,الانين,اذا عصبت,غير معروف,غير معروف,20,مابي نفترق لحظة احبك مثل ما شايف,Kuwait,Gulf
26,1364,الانين,اذا عصبت,غير معروف,غير معروف,21,ابشكرك على حبك تراك بالحيل مدللني,Kuwait,Gulf
27,27027,إبراهيم التميمي,وقت مضى,غير معروف,غير معروف,1,وقت مضى,Kuwait,Gulf
28,27027,إبراهيم التميمي,وقت مضى,غير معروف,غير معروف,2,الله على وقت مضى من زماني,Kuwait,Gulf
