,songID,Singer,SongTitle,SongWriter,Composer,LyricsOrder,Lyrics,SingerNationality,SongDialect
0,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,1,"بعدنا خلاص، انا وانت خلاص تايهين ما بين الناس",Palestine,Levantine
1,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,2,يا صاحبى لسه قلبي حزين انا وانت,Palestine,Levantine
2,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,3,حكاوينا بتشبه بعض لكن لسه,Palestine,Levantine
3,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,4,مفيش غلطان سبب فى البعد,Palestine,Levantine
4,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,5,حكاوينا بتتكرر وتتبدل أسامينا,Palestine,Levantine
5,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,6,وليلنا هو هو الليل لوحدينا,Palestine,Levantine
6,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,7,وحابسين روحنا فى جروحنا,Palestine,Levantine
7,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,8,ننادى الليل ينادينا,Palestine,Levantine
8,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,9,ليه نتباهى بمين سايب ومين متساب,Palestine,Levantine
9,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,10,ليه بنعلق قلوبنا بناس تملي غياب,Palestine,Levantine
10,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,11,جاوبنا يا ليل وقول الرد,Palestine,Levantine
11,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,12,فى غيرنا حاله بيشبهنا,Palestine,Levantine
12,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,13,ولا احنا بنشبه بعض,Palestine,Levantine
13,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,14,"ياليل موجوع، قالولك يا ما وحكولك وشفت دموع",Palestine,Levantine
14,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,15,وليك أصحاب كتير غيرنا وايه الموضوع,Palestine,Levantine
15,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,16,ده كل الناس فى جرح كبير حتى احنا,Palestine,Levantine
16,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,17,بقينا في حزن ما لينا,Palestine,Levantine
17,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,18,وبنخبينا في الضحكة وفي اللمة بنتداري,Palestine,Levantine
18,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,19,ويجري اليوم فى ضهر اليوم ولسه فى قصة متشاله,Palestine,Levantine
19,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,20,ولسه للدموع باقي ولسه الحكي مش خلصان,Palestine,Levantine
20,11134,احمد كامل,جاوبنا ياليل,احمد كامل,احمد كامل,21,ولسه القلب متعلق ما بين مظلوم وبين غلطان,Palestine,Levantine
21,14917,احمد كامل,شمس بلا نار,غير معروف,غير معروف,1,يوم افتح عينى .. بلقانى وحيد,Palestine,Levantine
22,14917,احمد كامل,شمس بلا نار,غير معروف,غير معروف,2,بلا اصحاب .. بلا ارض,Palestine,Levantine
23,14917,احمد كامل,شمس بلا نار,غير معروف,غير معروف,3,بلا عين تبكينى,Palestine,Levantine
24,14917,احمد كامل,شمس بلا نار,غير معروف,غير معروف,4,ما بدى اروح .. ما بدنا جروح,Palestine,Levantine
25,14917,احمد كامل,شمس بلا نار,غير معروف,غير معروف,5,وع كفوف اصحابى يشيلونى,Palestine,Levantine
26,14917,احمد كامل,شمس بلا نار,غير معروف,غير معروف,6,بدى اعيش .. ماخاف الليل,Palestine,Levantine
27,14917,احمد كامل,شمس بلا نار,غير معروف,غير معروف,7,ورفقاتى ببكاهم ينادونى,Palestine,Levantine
28,14917,احمد كامل,شمس بلا نار,غير معروف,غير معروف,8,بدى نهار .. وشمس بلا نار,Palestine,Levantine
29,14917,احمد كامل,شمس بلا نار,غير معروف,غير معروف,9,ولعب الحومه مثل ما كنا صغار,Palestine,Levantine
30,14917,احمد كامل,شمس بلا نار,غير معروف,غير معروف,10,بدى انام مرتاح .. بلا رصاص,Palestine,Levantine
31,14917,احمد كامل,شمس بلا نار,غير معروف,غير معروف,11,بلا صراخ وصوت قناص يضحك بقتل ابوى ييتمنى,Palestine,Levantine
32,14917,احمد كامل,شمس بلا نار,غير معروف,غير معروف,12,اطفال اصغار وقلب رجال فى نار نفوت .. لا كنا نخاف ع هد بيوت,Palestine,Levantine
33,14917,احمد كامل,شمس بلا نار,غير معروف,غير معروف,13,ولا م الليل يدبحنى,Palestine,Levantine
34,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,1,توهتي و خليتي الحياة تبقى صعبة و لسة بشكيكي لليل,Palestine,Levantine
35,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,2,عمري لو دايم اخافك تروحي و تنزل دموعي يا عيني,Palestine,Levantine
36,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,3,قلبي اللي عاش جوة منك مكسور الجناح و ما بيطير,Palestine,Levantine
37,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,4,زي اللي كان بيخاف و بقي ابن ليل بيخاف و بقي ابن ليل,Palestine,Levantine
38,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,5,خوفتي تخليني ابقي كارهك و عارف يا قلبي انه صعب,Palestine,Levantine
39,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,6,عمرك بيعدي امبارح و شايفك ضفايرك و ضحكك و لعب,Palestine,Levantine
40,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,7,كبرتي و قويتي و اول ما خونتي اختارتيني اكون الضحية,Palestine,Levantine
41,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,8,مكنتش مصدق بقول ازاي مبقتش هي خلاص مبقتش هي,Palestine,Levantine
42,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,9,اختارتي الطريق مشيتي لبعيد الوقت بيفوت بالبطيء,Palestine,Levantine
43,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,10,العمر بيديق مليت اكون وحيد فراقك بيوجع بيزيد,Palestine,Levantine
44,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,11,مبقتش اخاف م الليل مبقتش اخاف من الليل مبقتش اخاف,Palestine,Levantine
45,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,12,كنتي سندي و امي و حضنك بيدفي الحياة مابحلاش الا فيه,Palestine,Levantine
46,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,13,الوقت بيعدي قالولي انك كرهتي مع اني حبيتك كتير,Palestine,Levantine
47,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,14,و شوفتك في حضنه بتقولي الكلام اللي قولتي متقالش الا ليك,Palestine,Levantine
48,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,15,اراهن بعمري لو حتى كان حبك و ان انتي مكانك كتير,Palestine,Levantine
49,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,16,مبقتش اخاف م الليل بيخاف وبقي ابن ليل مبقتش اخاف م الليل,Palestine,Levantine
50,23036,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,17,مابقتش اخاف م الليل مابقتش اخاف م الليل مابقتش اخاف م الليل,Palestine,Levantine
51,23722,احمد كامل,مش شرط,احمد كامل,احمد كامل,1,مش شرط يبقى السكوت رضا,Palestine,Levantine
52,23722,احمد كامل,مش شرط,احمد كامل,احمد كامل,2,يمكن سكوتنا عن الكلام كان سببه خوف,Palestine,Levantine
53,23722,احمد كامل,مش شرط,احمد كامل,احمد كامل,3,تايهين ما بين ده وده وقلوبنا تتيتم بحجة الظروف,Palestine,Levantine
54,23722,احمد كامل,مش شرط,احمد كامل,احمد كامل,4,قلبي معلمنيش غير الوجع والاه,Palestine,Levantine
