,songID,Singer,SongTitle,SongWriter,Composer,LyricsOrder,Lyrics,SingerNationality,SongDialect
0,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,1,من يقول ان الهوى دايم جراح,Saudi Arabia,Gulf
1,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,2,من يقول ليل الهوى مالو صباح,Saudi Arabia,Gulf
2,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,3,ماعرف في الحب حبك,Saudi Arabia,Gulf
3,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,4,ما عشق ياعيوني قلبك,Saudi Arabia,Gulf
4,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,5,لو يعيش ساعه في قربك,Saudi Arabia,Gulf
5,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,6,كان درى ان الهوى افراح .. ان الهوى افراح,Saudi Arabia,Gulf
6,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,7,يابعد عمري وبعد روحي كمان,Saudi Arabia,Gulf
7,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,8,من عرفتك دنتي صارت امان,Saudi Arabia,Gulf
8,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,9,من يلوم القلب لا اصبح اسير,Saudi Arabia,Gulf
9,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,10,ذبل لسان البسمه وهمسات الحنان,Saudi Arabia,Gulf
10,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,11,ماعرف في الحب حبك,Saudi Arabia,Gulf
11,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,12,ما عشق ياعيوني قلبك,Saudi Arabia,Gulf
12,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,13,لو يعيش ساعه في قربك,Saudi Arabia,Gulf
13,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,14,كان درى ان الهوى افراح .. ان الهوى افراح,Saudi Arabia,Gulf
14,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,15,ياحبيبي خل عنك الحاسدين,Saudi Arabia,Gulf
15,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,16,ضيعوا من عمرهم احلى السنين,Saudi Arabia,Gulf
16,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,17,من يظن ان الهوى دايم عنا,Saudi Arabia,Gulf
17,24678,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,18,في العنا لذة حياة العاشقين,Saudi Arabia,Gulf
18,28096,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,1,ياسمار مايحلى السمر الا بصوت الدان ياسمار,Saudi Arabia,Gulf
19,28096,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,2,انا تحملت مرارات الهوى والجور والنكران منك,Saudi Arabia,Gulf
20,28096,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,3,يازمن يكفي ترى الحال استوى,Saudi Arabia,Gulf
21,28096,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,4,حتى الذي اهواه من قلبي,Saudi Arabia,Gulf
22,28096,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,5,هوى والدار غير الدار,Saudi Arabia,Gulf
23,28096,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,6,مديت في هجرك كفى والله كفى,Saudi Arabia,Gulf
24,28096,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,7,ذا الصد والهجران منك سامحك ربي لما هذا الجفا,Saudi Arabia,Gulf
25,28096,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,8,وين الموده الاوله هي والصفا .. خليتني محتار,Saudi Arabia,Gulf
26,28096,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,9,ليني يسامرني وطيفك مااكتفى,Saudi Arabia,Gulf
27,28096,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,10,يسأل نجوم الظهر منك,Saudi Arabia,Gulf
28,28096,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,11,والفكر تسري وجفني ماغفى,Saudi Arabia,Gulf
29,28096,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,12,يالهفة المشتاق شوقي ماانطفى .. يلهب لهيب النار,Saudi Arabia,Gulf
30,1826,جواد العلي,اسمعك,يم,عبد الله مسلم,1,اسمعك من غير ما اسمع صوتك,Saudi Arabia,Gulf
31,1826,جواد العلي,اسمعك,يم,عبد الله مسلم,2,افهمك حتى في وقت سكوتك,Saudi Arabia,Gulf
32,1826,جواد العلي,اسمعك,يم,عبد الله مسلم,3,انحرم من كل شي الا انت,Saudi Arabia,Gulf
33,1826,جواد العلي,اسمعك,يم,عبد الله مسلم,4,اموت عنك لو يوافق موتك,Saudi Arabia,Gulf
