acc,prob,macro_prob,dialectness,score,macro_score,_raw_turns,desired_output_dialect,generations
1,0.0013485468225553632,0.9593165904516354,0.001562243327498436,2.1067582753563335e-06,0.0014986859423916173,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""القاه انا من وين"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة'}]}]",kwt,['من أي شيء يتحدث الشاعر في هذا المقطع الشعري؟']
1,0.0639956071972847,0.7731833439320326,0.005876375362277031,0.00037606220942808244,0.004543515552805164,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس: ""نسى كلشي وماسال""'}]}]",kwt,"['""تناسى كل شيء ولم يسأل""']"
1,0.010812759399414062,0.2590324287302792,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""قلبي لوا ادموع العين"" اكتبلي قصة تبتدي بهذي الجملة'}]}]",kwt,['كان هناك رجل يدعى خالد، وكان معروفاً بحبه العميق لزوجته سارة. لقد كانا روحين في جسد واحد، لا يفترقان أبداً ويحبان بعضهما البعض حباً لا يوصف. لكن القدر كان يخبئ لهما مفاجأة قاسية.\n\nفي أحد الأيام، أصيبت سارة بمرض خطير، واستلزمت حالتها السفر إلى الخارج للعلاج. كان خالد ح']
1,0.029707221314311028,0.7346541956067085,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'شنو تأثير هذا إذا أحد قاله لك؟: ""يومك قريب من عيوني واشوفك""'}]}]",kwt,['هذا التعبير هو عبارة عن تهديد ووعيد. معنى هذا التعبير هو أن الشخص الذي يقول هذا الكلام يتمنى الأذى للشخص الآخر، ويشير إلى أنه يراقبه عن قرب، وأنه ينتظر الفرصة المناسبة للانتقام منه أو إلحاق الضرر به.\n\nيمكن أن يكون لهذا الكلام تأثير نفسي سلبي على الشخص الموجه إليه، حيث قد يشعر بالخوف والقل']
1,0.002482042880728841,0.38096728874370456,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""وأنسى رداك وعشرتك وما أهتم في شؤونك"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي'}]}]",kwt,"['في غمرة الحياة ودوامة الأحداث، قد ننسى بعض الردود والأفعال، ولكن يبقى صدى العشرة يتردد في أرواحنا. ""وأنسى رداك"" فهي ليست مجرد كلمات عابرة، بل هي لحظات حفرت في الذاكرة، و""عشرتك"" التي كانت ملاذاً دافئاً في ليالي الشتاء الباردة، لم تعد']"
1,0.013088374398648739,0.8373642470687628,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس: ""مثل الذهب صافي أنا مثل الذهب وياك""'}]}]",kwt,"['""أنا كالذهب الخالص في نقاءه، معك فقط.""']"
1,0.02271086722612381,0.652128579095006,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة هذا باسلوبك الخاص،  لكن حافظ على المعنى الأصلي: ""آسف آسف""'}]}]",kwt,['أعتذر، أعتذر بشدة. أردت فقط أن أعبر عن أسفي العميق وندمي على ما حدث. أدرك أن ما فعلته كان خاطئًا، وأتحمل المسؤولية الكاملة عن أفعالي. آمل أن تتقبل اعتذاري الصادق وأن نتمكن من المضي قدمًا معًا.']
1,0.001185325556434691,0.976517460483592,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""عساك بخير .. عساك بخير"" رد على هالنقاش'}]}]",kwt,['شكراً لك، وأتمنى أن تكون أنت أيضاً بخير وبصحة جيدة.']
1,0.004895601887255907,0.7425375467864797,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'شنو تأثير ""مطر أخفاها ضوا النجوم"" إذا أحد قاله لك؟'}]}]",kwt,['هذا التعبير له تأثير شعري وجميل. فهو يصور مشهدًا ليليًا حيث تخفي الأمطار ضوء النجوم. يمكن أن يكون له تأثير رومانسي أو حالم، مما يثير مشاعر الحنين أو التأمل.\n\nعند سماع هذا التعبير، قد يشعر الشخص بالهدوء والاسترخاء، متخيلًا مشهدًا جميلًا للمطر اللطيف الذي يه']
1,0.001997376326471567,0.7423163843341172,0.2711654603481293,0.0005416194710561179,0.20129056408191975,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""من وين من وين"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي'}]}]",kwt,"['""من وين من وين"" يا ترى؟ من بين ثنايا الحروف، ومن عمق المعاني، أجد نفسي أمام تساؤل يبحث عن إجابة. ""من وين من وين"" أستمد الإلهام لأنسج الكلمات وأصوغ الجمل؟\n\nإنها رحلة في عالم الإبداع، حيث تتلاقى الأفكار مع الخيال، وتنصهر المشاعر مع الأحاسيس. ""من وين من']"
1,0.003043582895770669,0.29018449364230037,0.00041810423135757446,1.2725348872092562e-06,0.00012132736466620095,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""شالحل معاها شالحال"" عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس'}]}]",kwt,"['""ما هو الحل معها، ما هو الحال؟""']"
1,0.002923221094533801,0.7689897899981588,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'شنو تأثير ""ودان واليل دان دانه ودانه حبيبي.."" إذا أحد قاله لك؟'}]}]",kwt,"['هذه الكلمات هي من أغنية شعبية معروفة في منطقة الخليج العربي، وتعرف باسم ""ودّان اليّل"". الأغنية لها تأثير عاطفي على بعض الناس، خاصة أولئك الذين تربطهم ذكريات أو ارتباطات عاطفية بالموسيقى.\n\nإذا قال شخص ما هذه الكلمات لك، فقد يكون لها عدة تأثيرات محتملة:\n\nالحنين إلى الماضي: قد تذكرك هذه الكلمات بطفولتك']"
1,0.00348148331977427,0.07747677550651133,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""مستحيل افكر بأحد غيرك وفـ حب جديـــــــــــد"" اكتبلي قصة تبتدي بهذي الجملة'}]}]",kwt,['جلس أحمد على الأريكة في غرفة المعيشة، واضعا يديه على وجهه، يشعر بالحزن واليأس. لقد مرت أشهر منذ أن تركته حبيبته السابقة، ولكنه لم يستطع نسيانها. كان يحبها بكل جوارحه، وكان يعتقد أنها حب حياته. ولكن، للأسف، لم تبادله نفس المشاعر، وتركته من أجل شخص آخر.\n\nفي أحد الأيام']
1,0.013209368102252483,0.2928956737741828,0.2850213050842285,0.0037649513358419817,0.08348150719264202,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""من يوم غاب وراح"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي'}]}]",kwt,['من يوم غاب وراح، غابت معاه الفرحة والسعادة. ترك وراه فراغ كبير، وصمت يخيم على كل شيء. كأن الحياة فقدت لونها، وغاب عنها النور.\n\nمن يوم غاب، والوقت توقف، والذكريات صارت هي اللي تسكن المكان. كل شيء حولي يذكرني بيه، وكل لحظة تمر عليّا هي لحظة شوق ولهفة لرجوعه']
1,0.0023096969816833735,0.6609383597970009,0.04684668779373169,0.00010820165339904542,0.030962772992311205,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي: ""تعبني وخلاني""'}]}]",kwt,"['في ليل الشتاء الطويل، تحت ضوء القمر الباهت، تنساب الكلمات من بين شفاهي كأنها أنين روح متعبة. ""تعبني وخلاني"" هي الجملة التي تختصر قصة حبي، قصة مليئة بالشوق والحنين والألم.\n\nكان حبي له كالبحر الهائج، عميق وغامض، يلفني بموجاته العاتية، ويتركني']"
1,0.0008628843352198601,0.8724130984628573,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة ""شالحل معاها شالحال"" باسلوبك الخاص،  لكن حافظ على المعنى الأصلي'}]}]",kwt,['ما هو الحل مع هذه الفتاة؟ كيف يمكن التعامل مع وضعها الحالي؟']
1,0.030404871329665184,0.8702753677498549,0.6084917783737183,0.018501114226612048,0.5295554061969509,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة ""انت عالبال يا عيوني غيرك ما طال جفونـــــــي"" بحيث تكون مناسبة لأغلب الناس'}]}]",kwt,['أنت في البال يا غالي، غيرك ما له مكان في خيالي.']
1,0.0006850307690910995,0.12733573542209342,0.03975728526711464,2.723496370350578e-05,0.005062523157874002,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة ""محتاج هواا"" بحيث تكون مناسبة لأغلب الناس'}]}]",kwt,['نحتاج إلى استراحة!']
1,0.013548142276704311,0.4954462689347565,0.5706406831741333,0.007731121164518906,0.28272179738100484,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""يا نو عيوني مهما يلوموني حبك غير بعينـــــــــــي والله"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة'}]}]",kwt,"['من هو المغني الذي أدّى الأغنية التي تحوي المقطع ""يا نو عيوني مهما يلوموني حبك غير بعينـــــــــــي والله""؟']"
1,0.014304058626294136,0.8714109277352691,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""يبوه بلحال"" عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس'}]}]",kwt,"['""يحتاج إلى بعض الوقت بمفرده""']"
1,0.007049737963825464,0.8559087112080306,0.15828591585159302,0.0011158742301178581,0.13547829423891977,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة هذا باسلوبك الخاص،  لكن حافظ على المعنى الأصلي: ""انت عالبال يا عيوني غيرك ما طال جفونـــــــي""'}]}]",kwt,['أنت في البال والخاطر، يا نور عيوني، لم يلامس غيرك جفوني ولم يخطر سواك في فؤادي.']
1,0.024757806211709976,0.9305427335202694,0.2687390446662903,0.006653389189368086,0.25007316522739553,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي: ""انا لو رحت للجنة ابيك وياي وانت عارف""'}]}]",kwt,"['في مسيرة الحياة، قد نمر بلحظات حيث نجد أنفسنا أمام مفترق طرق، حيث الخيارات التي نقوم بها يمكن أن تشكل مصيرنا. وفي خضم هذه اللحظات الحاسمة، قد نتوق إلى وجود أحبائنا بجانبنا، حتى في الجنة.\n\n""أنا لو رحت للجنة، أبيك وياي، وانت عارف"". هذه الكلمات ليست مجرد تع']"
1,0.0058736372739076614,0.9323400063440204,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""مدري جفا والا قسى الحب خوفك"" رد على هالنقاش'}]}]",kwt,['هذا بيت شعر جميل يعبر عن حالة من الحيرة والارتباك في علاقة عاطفية. فيبدو أن المتحدث غير متأكد مما إذا كان سبب تصرفات حبيبه هو الجفاء والقسوة، أو أن حبيبه خائف وقلق بشأن شيء ما.\n\nيمكن أن يكون الرد على هذا النقاش من خلال تقديم وجهة نظر مختلفة أو طرح أسئلة لاستكشاف الموضوع بشكل أعمق. على سبيل']
1,0.005289219319820404,0.1431106326635927,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة ""آسف آسف"" باسلوبك الخاص،  لكن حافظ على المعنى الأصلي'}]}]",kwt,['أعتذر بشدة، أدرك أنني أخطأت وأود أن أعبر عن أسفي العميق. أدرك أن كلماتي أو أفعالي قد تسببت في حزنك، وأنا نادم حقًا على ذلك.\n\nآمل أن تتقبل اعتذاري الصادق، وأعدك بأنني سأبذل قصارى جهدي لتصحيح أي أخطاء ارتكبتها وللتأك']
1,0.003330988110974431,0.9529678013641387,0.1281164586544037,0.00042675440059796593,0.12209085992244667,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة: ""والوله بلقلب حراق""'}]}]",kwt,"['ما هو المعنى البليغ الذي توحيه عبارة ""والوله بلقلب حراق""؟']"
1,0.011074467562139034,0.5759305770043284,0.2774420380592346,0.003072522850860737,0.1597873530647118,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'اكتبلي قصة تبتدي بهذي الجملة: ""ما ابي انحرم منك تضيع مني هالعواطف""'}]}]",kwt,"['""ما أبي انحرم منك، تضيع مني هالعواطف""، بهذه الكلمات بدأت قصة حب رائعة جمعت بين شخصين كان القدر يخبئ لهما مفاجآت كثيرة.\n\nفي أحد الأيام المشرقة، التقى أحمد ومي في حديقة عامة. كان أحمد شاباً وسيمًا، طموحاً، ويعمل كمصور محترف. أما مي، فكانت فتاة']"
1,0.0018173690186813474,0.020515416923444718,0.002342967316508293,4.2580362128051465e-06,4.8066951336172095e-05,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""متى عينيك ألاقيها"" اكتبلي قصة تبتدي بهذي الجملة'}]}]",kwt,['في ليلة مقمرة، بينما كان القمر يلقي بضيائه الفضي على الكون من حوله، كان هناك شاب يدعى عمر، يجلس وحيدا على شرفة منزله، شارد الذهن، شاغله الوحيد هو التفكير في حبيبته التي لم يرها منذ زمن. كان عمر شابا رومانسيا، حالما، تعلق قلبه بفتاة تدعى ليلى، التقى بها صدفة']
1,0.028278332203626633,0.5975790023803711,0.0010085906833410263,2.8521262401000336e-05,0.0006027126143610673,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'شنو تأثير هذا إذا أحد قاله لك؟: ""حرام حرام""'}]}]",kwt,"['عبارة ""حرام حرام"" يمكن أن يكون لها تأثير نفسي وعاطفي قوي على الشخص الذي يتم توجيهها إليه. يمكن أن تسبب هذه العبارة شعورا بالذنب والخجل والضيق، خاصة إذا كان الشخص لديه معتقدات دينية قوية.\n\nإذا قال شخص ما ""حرام حرام"" لشخص آخر، فهو يشير إلى أن هذا الشخص قد ارتكب فعلا أو سلوكا يعتبر محظورا أو']"
1,0.002251175232231617,0.8839959830511361,0.00420028530061245,9.455578237045278e-06,0.0037130353334101393,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس: ""غيابه طال""'}]}]",kwt,"['""غاب عنا طويلا""']"
1,0.0022856006398797035,0.09715812944341451,0.10658790171146393,0.0002436173763551569,0.010355881151584355,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""محتاج هواا"" شنو تأثير هذا إذا أحد قاله لك؟'}]}]",kwt,"['""محتاج هوا"" هو تعبير عامي يستخدم في بعض البلدان العربية، مثل مصر، عندما يشعر الشخص بالاختناق أو الضيق أو التوتر. وعادة ما يستخدم هذا التعبير عندما يشعر الشخص بأنه بحاجة إلى بعض الهواء النقي أو الوقت بمفرده أو تغيير في البيئة المحيطة للتخفيف من حدة مشاعره السلبية.\n\nإذا قال شخص ما ""محتاج هوا"" لك، فهذا يعني أنه يش']"
1,0.0026359050534665585,0.07464612694457173,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""مستحيل حب ثاني يسكن قلبي وانت بعيـــــــــد"" اخذ هل مقطع واكتب منه قصة'}]}]",kwt,"['في ليلة باردة من ليالي الشتاء، جلس أحمد وحيدا في غرفته، شارد الذهن، شاحبا، متأملا في الفراغ. كان قلبه مليئا بالحزن والأسى، و عيناه تفيضان بالدموع. لقد مرت أشهر منذ أن رحل حبيبته ""سارة"" بعيدا عنه، و تركته غارقا في بحر من الذكريات والألم.\n\nكان']"
1,0.0013977437047287822,0.9694988342816941,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""وقت مضى"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة'}]}]",kwt,"['ما هو الفعل الماضي من الجملة ""وقت مضى""؟']"
1,0.000658468168694526,0.9835967504768632,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""هب السعد هبايب الرياحي"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة'}]}]",kwt,['ما هو الوزن الشعري المستخدم في البيت السابق؟']
1,0.006311040837317705,0.285153835080564,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""نسى كلشي وماسال"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي'}]}]",kwt,"['في خضم الحياة الصاخبة، قد نجد أنفسنا غارقين في دوامة من الأحداث والتجارب. وفي بعض الأحيان، قد نشعر بأننا نكافح من أجل البقاء على قيد الحياة، ناهيك عن تذكر كل شيء.\n\nولكن، هناك أوقات يختار فيها البعض أن ""ينسى كل شيء ولا يسأل"". إنها ليست حالة من اللامبالاة، بل هي قرار واعٍ بالتخ']"
1,0.0217453483492136,0.9674107497557998,0.045968808233737946,0.00099960774824083,0.04447071923878101,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة: ""اتبسم واقول الله ياكيف حبك مذوبني""'}]}]",kwt,"['ما هو البيت الشعري الذي تنتمي إليه العبارة التالية: ""اتبسّم وأقول الله يا كيف حبّك مذوبني""؟']"
1,0.006262051407247782,0.758380654733628,0.01921520195901394,0.00012032658246799357,0.014572437442515882,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""اسمك يا غالي ما غيره فـ بالي مهما يصير حبيبـــي والله"" هذي الجملة موجهة لأي نوع من الجمهور؟ وضّح إجابتك'}]}]",kwt,"['هذه الجملة موجهة إلى الجمهور الرومانسي أو العاطفي. فهي تعبر عن مشاعر الحب والوفاء تجاه شخص ما، حيث يخاطب المتحدث شخصاً يحبه ويؤكد له أن اسمه محفور في باله وقلبه، وأنه مهما حدث، سيظل حبيباً له. وتستخدم كلمة ""يا غالي"" كدليل على المحبة والتقدير، مما يعزز الط']"
1,0.0022600663360208273,0.05637034366372973,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة هذا باسلوبك الخاص،  لكن حافظ على المعنى الأصلي: ""ببقى أنا ببقى معاك أبقى أنا وبلياك""'}]}]",kwt,['عندما أكون معك، أشعر بأنني على طبيعتي تماماً، أشعر بأنني أنا بحق. وجودك يمنحني شعوراً بالاكتمال والراحة. لكن عندما لا تكون بقربي، أشعر بأنني مفقودة، أشعر بأن جزءاً مني ناقص. أنت الوحيد القادر على جعلي أشعر بأنني على طبيعتي وبأنني كاملة. عندما أكون معك، أك']
1,0.0013485468225553632,0.9593165904516354,0.001562243327498436,2.1067582753563335e-06,0.0014986859423916173,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""القاه انا من وين"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة'}]}]",kwt,['من أي شيء يتحدث الشاعر في هذا المقطع الشعري؟']
1,0.010741690173745155,0.5154278583358973,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة ""ولا طارت في السما أي طير"" باسلوبك الخاص،  لكن حافظ على المعنى الأصلي'}]}]",kwt,['رغم محاولات الطيور المستميتة للتحليق عاليا في السماء، إلا أن طيرا واحدا لم يتمكن من بلوغ ذلك.']
1,0.006347863469272852,0.7771866435650736,0.0010890793055295944,6.9133267387123595e-06,0.0008464178900407268,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة ""يومك قريب من عيوني واشوفك"" باسلوبك الخاص،  لكن حافظ على المعنى الأصلي'}]}]",kwt,['أرى يوم لقياك قريب، فهو محفور في عيني، وكأني أراك أمامي الآن.']
1,0.0018034138483926654,0.9340339835034683,0.01454454567283392,2.6229835084968308e-05,0.013585099933045198,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""حرام حرام"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة'}]}]",kwt,"['ما هو الحكم الشرعي الذي تشير إليه عبارة ""حرام حرام""؟']"
1,0.0010980535298585892,0.2087094715097919,0.10712061822414398,0.00011762417296165562,0.022357087617363276,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي: ""قلبي ول ادموع العين""'}]}]",kwt,['في خضم الحياة الصاخبة، عندما تتلاطم أمواج التحديات وتتكاثر الغيوم في سماء الأمل، يبقى قلبي صامداً كالحصن المنيع، لا تهزه الرياح ولا تثنيه الدموع. نعم، قلبي ولّاد دموع العين، ولكنه أيضاً ولّاد للقوة والعزيمة.\n\nففي كل دمعة تُذرف، ي']
1,0.002453823573887348,0.3904106834670529,0.5117578506469727,0.0012557634780394622,0.19979573224071456,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'اكتبلي قصة تبتدي بهذي الجملة: ""ياللي الخيانة واضحة وباينه في عيونك""'}]}]",kwt,"['""يا اللي الخيانة واضحة وباينه في عيونك، كنت فاكرك غير كل الناس، لكن للأسف خيبت ظني فيك"". بهذه الكلمات بدأت ""سارة"" رسالتها الأخيرة إلى حبيبها السابق ""علي"". كانت سارة تشعر بالغدر والخيانة بعد أن اكتشفت أن علي كان على علاقة بأخرى طوال الوقت الذي كانا معاً.\n\nتعرفت سارة على علي في']"
1,0.013643465004861355,0.13363692979328334,0.011983297765254974,0.00016349370370308952,0.0016014111221473882,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'رد على موضوع وابتدي بـ""يا شاريه العباد والصلاحي""'}]}]",kwt,['يا شاريه العباد والصلاحي، يا من بيده مقاليد الأمور، يا من إذا أراد شيئاً قال له كن فيكون، إليك مددنا أيدينا بالدعاء، نسألك اللهم أن تتقبل منا صالح الأعمال، وأن ترزقنا الإخلاص في القول والعمل.\n\nإن الصلاح والفلاح في هذه الحياة لا يكون إلا بطاعتك واتباع أوامرك و']
1,0.01514231227338314,0.5170876595657319,0.005347072146832943,8.096703619565361e-05,0.0027649050219349597,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'شنو تأثير هذا إذا أحد قاله لك؟: ""هلت القمرة علينا من شمال ومن جنوب""'}]}]",kwt,"['هذا التعبير هو دعاء بالخير والبركة، وهو تعبير شعري جميل يستخدم في اللغة العربية. معنى ""هلت القمرة"" هو أن القمر قد ظهر وبزغ، وهو رمز للجمال والصفاء. والدعاء بأن ""تهل القمرة من شمال ومن جنوب"" يعني الدعاء بأن يغمرنا الجمال والخير من كل الاتجاهات، من الشمال والجنوب، مما يدل على الوفرة وال']"
1,0.19605764746665955,0.9158366285264492,0.48115843534469604,0.09433479089241992,0.4406625192131479,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة ""ترى قربي أنا أسعالا"" بحيث تكون مناسبة لأغلب الناس'}]}]",kwt,"['""ترى قربي أنا يسعدني""']"
1,0.0035079973749816418,0.9653182642068714,0.2339879870414734,0.0008208292443187271,0.225872877496135,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""حيل تعبني مشتاق"" رد على هالنقاش'}]}]",kwt,"['""حيل تعبني الشوق"" هو تعبير عن الشعور العميق بالحنين والشوق إلى شخص ما أو شيء ما. عندما نقول ""حيل تعبني مشتاق""، فإننا نعبر عن مدى شدة هذا الشوق وكيف أنه يؤثر علينا جسدياً وعاطفياً.\n\nالرد على هذا النقاش قد يكون بالتعبير عن التعاطف والتفهم لمدى صعوبة هذا الشعور. يمكن']"
1,0.012624787166714668,0.5640927841886878,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""او ليت قلبك ما نساه معروفك"" هذي الجملة موجهة لأي نوع من الجمهور؟ وضّح إجابتك'}]}]",kwt,['هذه الجملة موجهة لشخص ما، و يبدو من سياقها أنها موجهة لعامة الناس، حيث أنها مكتوبة بلغة عربية فصحى بسيطة وسهلة الفهم، و لا تحتوي على مصطلحات أو تعبيرات خاصة بفئة معينة من الجمهور.\n\nوتعبر هذه الجملة عن مشاعر المتحدث و أمنيته بأن يتذكر الشخص المقصود المعروف أو الجميل الذي قدمه له في السابق.']
1,0.002710947999730706,0.7424707687459886,0.001758616417646408,4.76751765971211e-06,0.0013057212835392452,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي: ""والوله بلقلب حراق""'}]}]",kwt,"['في مسيرة الحياة، قد نعيش لحظات شوق وألم، نختبر خلالها مشاعر الحنين والوله الذي يستقر في القلب كجمرة مشتعلة. ""والوله بلقلب حراق"" هي جملة تصف ذلك الشعور الدافئ الذي يتسلل إلى دواخلنا، كشعلة تخفق في ظلام الليل.\n\nهذا اللهيب الخفي، لهيب الشوق، يضيء عتمة']"
1,0.06061408668756485,0.9390853652730584,0.7642723917961121,0.04632567300924206,0.717717018217966,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""قولوله قلبي اشتاق"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي'}]}]",kwt,['يا ليت يحس بقلبي شوي، قولوله قلبي اشتاق. ترى ما عاد فيني صبر، ولا عاد القلب يحتمل. ياريت يدري بحالي، وبشوقي اللي ما له آخر. يا ريت يعرف إني صرت له مثل نسمة الهواء، وإنه صار لي كل الحياة.\n\nيا ريت يدري إني كل ما غاب لحظة، أحس بضيقة في صدري']
1,0.00887722335755825,0.6373243839479983,0.01097041741013527,9.73868456754165e-05,0.006991714517566855,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""واليوم تشكي لي خوافي ظروفك"" عيد كتابة هذا باسلوبك الخاص،  لكن حافظ على المعنى الأصلي'}]}]",kwt,['في هذا اليوم، تبوح لي بسر مخاوفك، وتكشف عن الهموم التي تخفيها في قلبك. تطلعني على ظروفك الصعبة، وتشاركني آلامك وأحزانك. إنك تثق بي وتأتمنني على أسرارك، وتلتمس مني العون والمواساة. إنني أسمعك وأشعر بك، وأقف بجانبك في محنتك. سأ']
