acc,prob,macro_prob,dialectness,score,macro_score,_raw_turns,desired_output_dialect,generations
0.0,0.0,0.0,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة ""والله اني ماني علي رد الخطا عاجز لكني احشم مقامي واحترم قولي"" بحيث تكون مناسبة لأغلب الناس'}]}]",kwt,"[' - الصفحة 2 - منتديات الرس اكس بي\n19-09-2010, 02:49 PM #11\nالمشاركة الأساسية كتبها ســــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ']"
1.0,0.013314098119735718,0.6988813211210072,0.20082472264766693,0.0026738000621997493,0.14035264747776133,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي: ""في ناس اعرفهم من NUM سنين ولا مره فكروا يعزموني او يطلبون لي مطعم بدون ما ادري خساره عشره العمر الي بيني وبينكم""'}]}]",kwt,"[' - حسوب I/O\n2019-09-01T18:06:13+00:00\nعطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي: ""في ناس اعرفهم من NUM سنين ولا مره فكروا يعزموني او يطلبون لي مطعم بدون ما ادري خساره عشره العمر الي بيني وبينكم""\n2019']"
1.0,0.0006206901161931455,0.17180900677340105,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي: ""USER الله يبارك فيك وجزاك الله خير ياطيب""'}]}]",kwt,"[' - الصفحة 2 - منتديات طلاب الجامعة العربية المفتوحة\n24-09-2010, 02:30 AM #16\nرد: عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي: ""USER الله يبارك فيك وجزاك الله خير ياطيب""\nالمشاركة الأصلية كتبت بواسطة user\nأخي الكريم user\nأشكرك']"
0.0,0.0,0.0,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""USER تصبحون علي خير ودوام خايس"" رد على هالنقاش'}]}]",kwt,"[' - الصفحة 2 - منتديات الرس اكس بي\n21-09-2008, 03:49 PM #11\nالبلد: في قلوب المحبين\nالمشاركة الأساسية كتبها ســــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ']"
1.0,0.004865484312176704,0.9123773879837245,0.21914902329444885,0.001066266134867988,0.19994661345257364,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة ""USER البدر لو شاف خدك غاب ماشوع"" باسلوبك الخاص،  لكن حافظ على المعنى الأصلي'}]}]",kwt,[' للكلمات.\n\nالهدف من التحدي هو كتابة كود قصير وسهل الفهم، ويكون له نفس المعنى الأصلي.\n\nمثال:\n\nUSER البدر لو شاف خدك غاب ماشوع = لو شاف البدر خدك، غاب و ما شوع\n\nملاحظة:\n\nيجب أن يكون الكود مكتوب بلغة برمجة، مثلاً بايثون أو ج']
0.0,0.0,0.0,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس: ""USER بالتوفيق وفالك النجاح يابوفهد""'}]}]",kwt,"[' - الصفحة 2 - منتديات طلاب الجامعة العربية المفتوحة\n21-05-2013, 02:14 AM #16\nرد: عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس: ""USER بالتوفيق وفالك النجاح يابوفهد""\nهههههههههههههههههههههههههههههه']"
1.0,0.004591287113726139,0.9311188490828499,0.04880306124687195,0.0002240688662131507,0.04544145021990724,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""بالضببط نفس وضعي URL"" عيد كتابة هذا باسلوبك الخاص،  لكن حافظ على المعنى الأصلي'}]}]",kwt,"['.\n\nمثال:\n\ninput: ""How about eating some delicious ice cream?""\n\noutput: ""How about eating a delicious ice cream cone?""\n\nملاحظة: يمكنك استخدام أي كلمة تراها مناسبة، أو حتى إضافة كلمة جديدة. تجنب فقط تغيير ترتيب الكلمات الموجودة.\n\nلا تنسَ أن تستخدم علامات الترقيم!\n<EOS_TOKEN>حظا موفقا\n<EOS_TOKEN>ملاحظة: قد يكون للكثير من الأس']"
1.0,0.006072791758924723,0.6572675062343478,0.19554823637008667,0.001187523718300526,0.12852750166749166,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'رد على هالنقاش: ""USER اللي يتذكره ريتويت URL""'}]}]",kwt,"[' - حسوب I/O\n2019-08-29T19:44:49+00:00\nرد على هالنقاش: ""USER اللي يتذكره ريتويت URL""\nhttps://io.hsoub.com/go/92999/comments/854908\nالموضوع كان عن شخص يشتكي من عدم تذكره اسم المستخدم لشخص آخر، فكان']"
1.0,0.015268261544406414,0.7416814304888248,0.40277549624443054,0.006149681620338049,0.29873110622041554,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""غير قربك ما اظن عندي اماني ثانيه"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي'}]}]",kwt,"[' - الصفحة 2 - منتديات نيو حب منتديات نيو حب > المنتديات العامة > الحوار المفتوح > رومنسيات ""غير قربك ما اظن عندي اماني ثانيه"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي\nتذكرنى التسجيل ""غير قربك ما اظن عندي اماني ثانيه"" عطيني رد بإسلوب مبدع يتضمن هالج']"
1.0,0.008041750639677048,0.2415858400054276,0.08297544717788696,0.0006672678554202616,0.02004569310629581,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""ما عادت الشرهه تودي و لا تجيب نفوسنا ليا شافت التقصير طابت"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة'}]}]",kwt,"[' - حسوب I/O\n2019-04-18T18:43:52+00:00\n""ما عادت الشرهه تودي و لا تجيب نفوسنا ليا شافت التقصير طابت"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة\nأكتب سؤالًا ممكن أن يُطرح في ام']"
