acc,prob,macro_prob,dialectness,score,macro_score,_raw_turns,desired_output_dialect,generations
0.0,0.0,0.0,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""USER ذي يشوفونها فله عندهم وكذا"" رد على هالنقاش'}]}]",sau,"[' - الصفحة 2 - منتديات الرس اكس بي\n16-02-2010, 09:29 PM #11\nالمشاركة الأساسية كتبها ســــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ']"
1.0,0.5968364477157593,0.7407820886000991,0.32117414474487305,0.19168843564767712,0.2379200537484576,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'اعد كتابة ""USER مايبين معك هذه تتفاهم فيها مع جارك"" عشان تصير مناسبة اكثر لجمهور عام'}]}]",sau,"[' - الصفحة 2 - البوابة الرقمية ADSLGATE\n19-06-2019, 09:29 PM كاتب الموضوع #21\nرد: اعد كتابة ""USER مايبين معك هذه تتفاهم فيها مع جارك"" عشان تصير مناسبة اكثر لجمهور عام\nانا جربت كل شي مافيه فايده\n19-06-2019, 09']"
1.0,0.8456396460533142,0.9119229491334409,0.1114095002412796,0.0942122903510123,0.10159688002151049,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""USER من جميع النواحي من سماجه وقله ادب ووقاحه واشياء كثيره دخيله علي اهل #الحجاز ماني فاضي اعددها لك وكذلك البقيه من عيناته من السذج"" وش آثار هذا اذا احد قاله لك؟'}]}]",sau,[' | ask.fm/saudalshammari\n#الحجاز#البداوة#القبيلة#القبائل#القبائلية#القبيلة_البدوية#القبيلة_الحضرية#القبيلة_البدوية_الحضرية#القبيلة_البدوية_الحضرية_البداوة#القبيلة_البدوية_الحضرية_القبائلية#القبيلة']
1.0,0.38912585377693176,0.4499556585215032,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'اعد كتابة هذا باسلوبك الخاص، لكن مع انك تحافظ على المعنى الأساسي: ""USER USER الشايب اللي طال عمره علي الطيب من طيب حظه به عياله تقدوا الله يطول عمر ابو محمد وصح لسانك يا ابو فيصل""'}]}]",sau,['\nرد: عاجل : بيان من الديوان الملكي\nاللهم احفظ لنا ملكنا وولي عهده وكل من يناصرهم\nاللهم احفظ لنا ملكنا وولي عهده وكل من يناصرهم ووفقهم لما تحبه وترضاه\nاللهم احفظ لنا ملكنا وولي عهده وكل من يناصرهم ووفقهم لما تحبه وترضاه وبارك فيهم\nاللهم احفظ ل']
1.0,0.004933991003781557,0.09630626543366816,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'رد على هالنقاش: ""لابوكم لا ابو التحصيلي حقكم ياعيال الكلب اصحي وانا ماشبعت نوم عشان الون دائره حسبيالله عليكم حسابا شديد""'}]}]",sau,"[' - الصفحة 2 - منتديات طلاب الجامعة العربية المفتوحة\n13-05-2011, 04:01 PM #16\nرد: رد على هالنقاش: ""لابوكم لا ابو التحصيلي حقكم ياعيال الكلب اصحي وانا ماشبعت نوم عشان الون دائره حسبيالله عليكم حسابا شديد""\nالمشاركة الأصلية كتبت بواسطة سارة الع']"
1.0,0.866487979888916,0.9405877388780937,0.5968628525733948,0.5171744873970567,0.5614018809223383,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""USER من معايدات اهالي #تربه #الخرمه #المويه #رنيه علي #قناه_شهامه_الفضائيه خلوكم علي الحروه URL"" اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على هالجملة'}]}]",sau,[' - حلول المعلم\nأنت هنا .. Home / حلول / حلول الصف الثاني متوسط ف2 / حلول رياضيات ثاني متوسط ف2 / “USER من معايدات اهالي #تربه #الخرمه #المويه #رنيه علي #قناه_شهامه_الفضائيه خلوكم علي الحروه URL” اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على']
1.0,0.017947206273674965,0.1764355639461428,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي: ""ي ليت والله يتحقق هالحلم والله حضرت في الرياض وقتها النوم جاني #نهايي_اسيا_بجده_يانواف_السعد""'}]}]",sau,"[' - الصفحة 2\nالموضوع: اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي: ""ي ليت والله يتحقق هالحلم والله حضرت في الرياض وقتها النوم جاني #نهايي_اسيا_بجده_يانواف_السعد""\n11-09-2019, 03:43 AM #11\nالمشاركات: 8']"
1.0,0.9294124245643616,0.9508883618982509,0.8349526524543762,0.7760153691140665,0.7939467599549414,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""#ZDRSEDK NUM الحين قطعتو البث عليهم و التحجيره وش يصير عليه"" اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي'}]}]",sau,[' في الرد | Askfm\n#ZDRSEDK NUM الحين قطعتو البث عليهم و التحجيره وش يصير عليه\n#ZDRSEDK NUM الحين قطعتو البث عليهم و التحجيره وش يصير عليه؟\n#ZDRSEDK NUM الحين قطعتو البث عليهم و التحجيره وش يصير عليه؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟']
1.0,0.00473635271191597,0.5783258695155382,0.6793359518051147,0.003217574677634172,0.39287755502085875,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""تحسبين اذا سبيتيني بقول ماراح انزل لمستواك لا حبيبتي انزل لمستواك واقصف جبهتك و بعدين ارجع لمستواي عادي يعني"" كمل كتابة هالفقرة عشان تصير قصة'}]}]",sau,[' و يصير لها معنى و لا تنسى تكتب اسمك عشان الناس تعرف منو اللي كاتبها و لا تنسى تكتب اسمي عشان الناس تعرف منو اللي ماخذ عقلك و مسبب لك عقدة نفسية و تنام و انت مرتاح البال و انت تعرف اني افضل منك بكل شي و اني احسن منك بكل شي و اني احلى منك بكل شي و ان']
0.0,0.0,0.0,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي: ""USER اذا احد يتكلم بالمراه و شافهم مشاري الغامدي URL""'}]}]",sau,"[' - الصفحة 2 - منتديات بنات\n26-09-2012, 08:23 PM رقم المشاركة : 16\nرد: اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي: ""USER اذا احد يتكلم بالمراه و شافهم مشاري الغامدي URL""\nهههههههههههههههههههه']"
