acc,prob,macro_prob,dialectness,score,macro_score,prompts,generations
1.0,0.02081734873354435,0.16320616169832647,0.0,0.0,0.0,"اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على ""فيه مضيفات يتكلمون ياباني؟"""," مع ذكر اسم المضيفة المصرية التي تتكلم اليابانية.
""في الفيلم ""مضيفات يابانيات"" يتكلمون اليابانية ويظهرون لنا كيف يعيشون في اليابان وطريقة حياتهم اليومية.""
""في الفيلم ""مضيفات يابانيات"" يتكلمون اليابانية ويظهرون لنا كيف يعيشون في اليابان وطريقة حياتهم اليومية.""
""في الفيلم ""مضيفات يابانيات"" يتكلمون اليابانية ويظهرون"
0.0,0.0,0.0,0.0,0.0,0.0,"رد على هالنقاش لكن ابدأ بـ ""قهوة بالكريمة و السكر، لو سمحت.""",
0.0,0.0,0.0,0.0,0.0,0.0,"""فيه مضيفة تتكلم ياباني؟"" كمل كتابة هالفقرة عشان تصير قصة"," في النص.
I've been told that the Japanese language is very difficult. It is difficult to read, difficult to write, and difficult to speak. But I am interested in it because it is very different from other languages. For example, in Japanese, there are no verbs. Instead, there are particles, which are used to indicate the relationship between words. This is why Japanese sentences are very short. For example, ""Hello, how are you?"" would be written as ""おはようございます、元気ですか？"" in Japanese. This sentence is very short, but it contains a lot of information. In addition, Japanese"
1.0,0.0737215057015419,0.9715899815782905,0.21554042398929596,0.01588996459603964,0.209416916573137,"رد على هالنقاش لكن ابدأ بـ ""ضيعت علامة الاستلام."""," في النص. ( 10 نقاط )
""ضيعت علامة الاستلام."" اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي في النص. ( 10 نقاط )
اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي في النص.
""ضيعت علامة الاستلام."" اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي في النص. ( 10 نقاط )
اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي في النص.
""ضيع"
1.0,0.007995104417204857,0.08091964869527146,0.005060817115008831,4.0461761270873045e-05,0.00040951954305753184,"وش آثار ""خلنا نجتمع عشان نناقش هذا اكثر."" اذا احد قاله لك؟",".
الرأي في ذلك كله.
أنا شخصياً لا أعتقد أن ""اللغة العربية"" هي ""اللغة العربية الفصحى"" (العربية القياسية).
وأنا شخصياً لا أعتقد أن ""اللغة العربية"" هي ""اللغة العربية الفصحى"" (العربية القياسية).
وأنا شخصياً لا أعتقد أن ""اللغة العربية"" هي ""اللغة العربية الفصحى"" (العربية القياسية).
وأنا شخصياً لا أعتقد أن ""اللغة العربية"" هي ""ال"
0.0,0.0,0.0,0.0,0.0,0.0,"""ابغى اشوف الميناء."" اعد كتابة هذا باسلوبك الخاص، لكن مع انك تحافظ على المعنى الأساسي",". احرص على كتابة قصة طويلة.
I want to see the port.
I want to see the port. I want to see the port. I want to see the port. I want to see the port. I want to see the port. I want to see the port. I want to see the port. I want to see the port. I want to see the port. I want to see the port. I want to see the port. I want to see the port. I want to see the port. I want to see the port. I want to see the port. I want"
1.0,0.0004119160585105419,0.002760749150183983,0.9716410636901855,0.00040023455724225165,0.002682457240866541,"""وين اقرب صيدلي؟"" اعد كتابة هالجملة عشان تصير مناسبة اكثر لجمهور عام",".
أنا مش عارف انا اكون كده، بس انا عارف انا مش كده.
عايز اعرف ما هوك كده، عايز اعرف ما هوك كده، عايز اعرف ما هوك كده.
مفيش علاقة بين ما هوك كده وما هوك كده."
0.0,0.0,0.0,0.0,0.0,0.0,"اعد كتابة ""اعتقد انه مسرحي."" عشان تصير مناسبة اكثر لجمهور عام"," ثم انتهي بها القصة ب ""عندما قرأت كتابه، اعتقد انه مسرحي.""
Write a story that starts with the sentence ""I thought he was an actor."" Then end the story with ""When I read his book, I thought he was an actor.""
I thought he was an actor.
When I read his book, I thought he was an actor."
1.0,0.0009646413382142782,0.004002129557193257,0.8222923278808594,0.0007932171715703262,0.003290920430065236,"وش آثار ""وش ينعزف اليوم في قاعة الاحتفالات؟"" اذا احد قاله لك؟",".
وأنت تقول كلامك لما يكونوا عاوزين يسمعوا عالراديو، ويكتبوا على الجرايد، ويرموا من الكنيسة، ويكتبوا على الجدران، ويرسموا على الشوارع، ويحطوا في شوفات الحمامات، ويخبطوا على بابك، ويشوفوا الضوء، ويشوفوا الضوء، ويشوفوا الضوء، ويشوفوا الضوء، ويشوفوا الضوء، ويشوفوا"
1.0,0.6471660137176514,0.6873909255955368,0.0,0.0,0.0,"اعد كتابة هالجملة عشان تصير مناسبة اكثر لجمهور عام: ""خذني للمستشفى."""," (يشاهده 1 زائر)
الأقسام الفرعية : احدث وافضل انواع الاطباق...
الأقسام الفرعية : مكياج رائع ومحترف للعروس
الأقسام الفرعية : طريقة عمل البومه المصرية...
الأقسام الفرعية : احدث وافضل انواع الاطباق...
الأقسام الفرعية : مكياج رائع ومحترف للعروس
الأقسام الفرعية : طريقة عمل البومه المصرية...
الأقسام الفرعية : احدث وافضل انواع الاطب"
1.0,0.0742061659693718,0.8673195787705481,0.2110213190317154,0.015659083023143228,0.18302292153419283,"اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على ""اوه، ولا شيء. انت هنا، على كل حال.""","؟ اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي: ""اوه، ولا شيء. انت هنا، على كل حال.""؟ اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي: ""اوه، ولا شيء. انت هنا، على كل حال.""؟ اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي: ""اوه، ولا شيء. انت هنا، على كل حال.""؟ اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي: ""اوه، ولا شيء. انت هنا،"
0.0,0.0,0.0,0.0,0.0,0.0,"""كان مفروض تأخذ الرحلة ثمانية اثنين صفر، اللي أقلعت قبل خمسة عشر دقيقة. طيب. اقدر ارتب لك رحلة ثانية."" وش آثار هذا اذا احد قاله لك؟",
1.0,0.017329001799225807,0.12111421464942396,0.21843990683555603,0.003785345538576068,0.026456177764481704,"اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي: ""هذا السن رخو."""," و ""هذا السن رخو."" و ""هذا السن رخو."" و ""هذا السن رخو."" و ""هذا السن رخو."" و ""هذا السن رخو."" و ""هذا السن رخو."" و ""هذا السن رخو."" و ""هذا السن رخو."" و ""هذا السن رخو."" و ""هذا السن رخو."" و ""هذا السن رخو."" و ""هذا السن رخو."" و ""هذا السن رخو."" و ""هذا السن رخو."" و """
1.0,0.00024626089725643396,0.004111443646252155,0.3057677149772644,7.52986318423507e-05,0.0012571467289723137,"""مقعد لغير المدخنين، لو سمحت."" وشي الشريحة اللي جملة مثل هذي تكون موجهة لها؟ فسر اجابتك"," واش يلزمك ان تقول: ""سأجلس في هذا المقعد، لو سمحت.""؟ واش يلزمك ان تقول: ""لا، شكرا، لا اريد ان اجلس في هذا المقعد.""؟ واش يلزمك ان تقول: ""لا، شكرا، لا اريد ان اجلس في هذا المقعد.""؟ واش يلزمك ان تقول: ""لا، شكرا، لا اريد ان اجلس في هذا المقعد.""؟ واش يلزمك ان تقول: ""لا، شكرا"
1.0,0.023930687457323074,0.3231059401296079,0.0,0.0,0.0,"""بكم الفطر الطازج؟"" اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على هالجملة"," ( 1 2 3 4 5... الصفحة الأخيرة )
بواسطة: شاعر الليالي 73 6,806
ماهي السبب في صعوبة تناول الطعام عند البعض ؟
بواسطة: شاعر الليالي 5 1,030
أريد منكم المساعدة في هذا المرض
بواسطة: شاعر الليالي 2 1,026
الاكتئاب والقلق والاكتئاب النفسي
نصائح لمن يعاني من الصداع النصفي
بواسطة: شاعر"
1.0,0.893447995185852,0.9496572958305478,0.9799203872680664,0.8755079054463977,0.9305885451022151,"""اذا ممكن، ما ابغى اخلع الضرس."" اكتب قصة تبدأ بهالجملة",. ما ابغى اخلع الضرس. ما ابغى اخلع الضرس. ما ابغى اخلع الضرس. ما ابغى اخلع الضرس. ما ابغى اخلع الضرس. ما ابغى اخلع الضرس. ما ابغى اخلع الضرس. ما ابغى اخلع الضرس. ما ابغى اخلع الضرس. ما ابغى اخلع الضرس. ما ابغى اخلع الضرس. ما ابغى اخلع الضرس. ما ابغى اخلع الضرس. ما ابغى اخلع الضرس. ما
1.0,0.7244559526443481,0.9109064885415137,0.48409464955329895,0.35070525051216705,0.4409649573463302,"""نبغى غرفة مطلة على البحيرة."" اكتب قصة تبدأ بهالجملة"," فيه.
""نبغى غرفة مطلة على البحيرة."" اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي فيه.
""نبغى غرفة مطلة على البحيرة."" اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي فيه.
""نبغى غرفة مطلة على البحيرة."" اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي فيه.
""نبغى غرفة مطلة على البحيرة."" اكتب رد ابداعي يتضمن هالجملة ك"
0.0,0.0,0.0,0.0,0.0,0.0,"""افهم، بس ما اقدر أقوله."" كمل كتابة هالفقرة عشان تصير قصة"," 1. Write an original response that includes this sentence as an essential element: ""I understand, but I can't say it.""
2. Write an original response that includes this sentence as an essential element: ""I understand, but I can't say it.""
اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي: ""افهم، بس ما اقدر أقوله."" 1. Write an original response that includes this sentence as an essential element: ""I understand, but I can't say it."""
1.0,0.041511841118335724,0.5908539856318384,0.44719064235687256,0.018563706895124987,0.2642243733738202,"""ادور على بطائق تقليدية من هاواي."" وشي الشريحة اللي جملة مثل هذي تكون موجهة لها؟ فسر اجابتك"," هل سيكون هذا المعتاد؟ ام هذا شي غير معتاد؟ ""ادور على بطائق تقليدية من هاواي."" وش آثار هذا اذا احد قاله لك؟ هل سيكون هذا المعتاد؟ ام هذا شي غير معتاد؟ ""ادور على بطائق تقليدية من هاواي."" وش آثار هذا اذا احد قاله لك؟ هل سيكون هذا المعتاد؟ ام هذا شي غير معتاد؟ ""ادور على بطائق تقليدية من هاواي."" وش آثار هذا اذا احد قاله لك؟ هل س"
0.0,0.0,0.0,0.0,0.0,0.0,"""اعذرني. اضغط زر التصوير، لو سمحت."" اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على هالجملة",
0.0,0.0,0.0,0.0,0.0,0.0,"رد على هالنقاش: ""بونساي شكلها هواية العجائز.""",".
Translation: Bonzai is a hobby of the elderly.
This is not a hobby of the elderly. It is a hobby of people who like to make bonsai.
Bonzai is a hobby of the elderly.
Bonzai is a hobby of the elderly.
Bonzai is a hobby of the elderly.
Bonzai is a hobby of the elderly.
Bonzai is a hobby of the elderly.
Bonzai is a hobby of the elderly.
Bonzai is a hobby of the elderly.
Bonzai is a hobby of the elderly.
Bonzai is a hobby of the elderly."
1.0,0.00016748761117924005,0.0018078999855788425,0.0,0.0,0.0,"اكتب قصة تبدأ بهالجملة: ""اقدر اخذ تذكرة متعددة؟"""," من اجل الوصول الى الهدف المرجو
اكتب رد ابداعي يتضمن ""اقدر اخذ تذكرة متعددة؟"" كعنصر أساسي من اجل الوصول الى الهدف المرجو
اكتب رد ابداعي يتضمن ""اقدر اخذ تذكرة متعددة؟"" كعنصر أساسي من اجل الوصول الى الهدف المرجو
اكتب رد ابداعي يتضمن ""اقدر اخذ تذكرة متعددة؟"" كعنصر أساسي من اجل الوصول الى الهدف المرجو
اكتب رد"
1.0,0.9413369297981262,0.9750243106391281,0.951465368270874,0.895649488577348,0.927701864795313,"""ابغى تفاح، لو سمحت."" اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على هالجملة",".
مُساهمة موضوع: وش آثار ""ابغى تفاح، لو سمحت."" اذا احد قاله لك؟.    وش آثار ""ابغى تفاح، لو سمحت."" اذا احد قاله لك؟. Empty السبت 21 مايو 2011, 6:25 pm
وش آثار ""ابغى تفاح، لو سمحت."" اذا احد قاله لك؟.
وش آثار ""ابغى تفاح، لو سمحت."" اذا احد قاله لك؟. 1023
وش آثار ""ابغى تفاح، لو سمحت"
0.0,0.0,0.0,0.0,0.0,0.0,"وشي الشريحة اللي جملة مثل هذي تكون موجهة لها؟ ""انت فعلتها."" فسر اجابتك"," في القصة. حاول كتابة هذا العنصر بأسلوب مبتكر.
Write a creative response that includes ""you did it"" as an essential element of the story. Try to write this element in a creative way.
I am going to write a story about a girl named Jane who is in a relationship with a boy named Jack. Jane is very in love with Jack and she is always doing things for him. One day, Jane was cooking dinner for Jack and she accidentally burned the food. Jack was very upset with Jane and he yelled at her. Jane felt really bad and she tried to apologize to Jack, but he"
1.0,0.008570547215640545,0.2514209169894457,0.0,0.0,0.0,"""مئة و خمس و ثلاثين ين لكل دولار."" اكتب سؤال ممكن ينحط في اختبار، على شكل قطعة نصية بناءً على هالجملة"," و استمر بذلك حتى نكون في ""مئة و خمس و ثلاثين ين لكل دولار."" و اذا ما استطعت الوصول الى ""مئة و خمس و ثلاثين ين لكل دولار."" فانظر ماذا فعلت.
في هذا المقال سوف نناقش بعض النقاط المهمة في النظرية الاقتصادية التقليدية التي تؤكد على وجود العجز الحكومي كسبب أساسي لارتفاع معدلات الفائدة و ارتفاع معدلات التضخم و انهيار السوق المالي و انهيار الاقتصاد. و"
1.0,0.007339460775256157,0.9653281623031944,0.01515234261751175,0.00011121002429446969,0.014626983053550991,"""هل ما يزال محجوز بالكامل؟"" كمل كتابة هالفقرة عشان تصير قصة"," في النص. اكتب الجملة التي تليها كتعليق على النص.
""هل ما يزال محجوز بالكامل؟"" اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي في النص. اكتب الجملة التي تليها كتعليق على النص.
""هل ما يزال محجوز بالكامل؟"" اكتب رد ابداعي يتضمن هالجملة كعنصر أساسي في النص. اكتب الجملة التي تليها كتعليق على النص.
""هل ما ي"
0.0,0.0,0.0,0.0,0.0,0.0,"اعد كتابة ""وش فيه في الاوبرا اليوم؟"" عشان تصير مناسبة اكثر لجمهور عام","
A. اسم فاعل
B. اسم مفعول
C. اسم موصول
D. اسم منصوب
E. اسم مرفوع
F. اسم موصول
G. اسم مرفوع
H. اسم موصول
I. اسم فاعل
J. اسم مفعول
K. اسم منصوب
L. اسم فاعل
M. اسم موصول
N. اسم منصوب
O. اسم فاعل
P. اسم موصول
Q. اسم مرفوع
R. اسم فاعل
S. اسم فاعل"
