acc,prob,macro_prob,dialectness,score,macro_score,prompts,generations
1.0,0.22576287388801575,0.6157826855778694,0.2902727723121643,0.06553281528863586,0.17874494728451795,"جاوب على شي موضوع لي كيبدا بـ""واش كاين شي مضيفات كيهدرو اللغة اليابانية؟""",". واضح انك تعلمين ان اللي بيسموها ""مضيفات"" هي اللي بيها دور في تثقيف المجتمع في اللغة اليابانية. 
ما هو الهدف من هذا الشهر؟ 
ما هي الوسائل المستخدمة في هذا الشهر؟ 
ما هي النتائج المرجوة من هذا الشهر؟ 
ما هي النتائج التي توقعينها من هذا الشهر؟ 
ما هي النتائج التي توقعينها من هذا الشهر؟ 
ما هي النتائج التي توقعينها من هذا الشهر؟ 
"
1.0,0.46532371640205383,0.9917215585010126,0.9509997367858887,0.4425227318185847,0.9431269410993544,"قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية: ""قهوة بالكريم والسكر، عافاك."""," ماشي بلاك، ليه علاقة معا الشاي. فمشيتش ليهشا، واش ماشي بلاك علاقة معا الشاي؟ علاقة كبيرة، علاقة كبيرة.

فقال لي: ""علاقة كبيرة؟ كيف؟"" قال: ""لأنهما جميعاً بيرقصوا على الماء."" حبيت أقلب على ماشي بلاك، عشان يفهم، ولكن ماشي بلاك قال لي: ""لا، لا، لا، هادي هادي."" فقال"
1.0,0.9959754347801208,0.9974976687808521,0.21853315830230713,0.21765365735401332,0.21798631595786827,"""كاين شي مضيفة متهدر باليابانية؟"" قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية"," لينا
واحد: ""لا، كاين شي مضيفة متهدر بالصيني""
""كاين شي مضيفة متهدر بالعربي؟""
""لا، كاين شي مضيفة متهدر بالفرنسي""
""كاين شي مضيفة متهدر بالالماني؟""
""لا، كاين شي مضيفة متهدر بالإسباني""
""كاين شي مضيفة متهدر بالهولندي؟""
""لا، كاين شي مضيفة متهدر بالدنماركي""
""كاين شي مضيفة متهدر بالسوي"
1.0,0.9956825971603394,0.997468747140374,0.8485972285270691,0.8449334924428982,0.8464492143656893,"قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية: ""ضيعت علامة الاستلام ديالي.""",".
""ضيعت علامة الاستلام ديالي."" اش من جمهور هادا نوع من الجملة لي هدشي موجه ليه؟ برر جواب ديالك.
مطلوب جواب على السؤال.
الجواب هو: ""ضيعت علامة الاستلام ديالي"" هي جملة موجهة للي بيكون ليه علامة استلام او بيكون مشتري في سوق او محل. علامة الاستلام ديالي هيا علامة بيكون بيضيفها المشتري على الاوراق او المنتجات اللي بيبعتها ليه البائع."
1.0,0.9958100318908691,0.9969975744461408,0.9939031004905701,0.9897386781959483,0.9909189804235973,"""خليونا مجموعين نناقشو هاد الموضوع كثر."" عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي"," كاينا مين كيحس بيه كتر منك و مين كيحس بيه أقل منك. ليك، كتير منا كيحس بيه كتر منك. هادشي كتير. هادشي كتافيت.
ماكنة ما كتافيتش، شكون كيحس بيه أقل منك؟ ليك، كتير منا كيحس بيه كتر منك. كتير منا. كتير منا كيحس بيه كتر منك. ك"
0.0,0.0,0.0,0.0,0.0,0.0,"""بغيت نشوف الميناء."" شناهوما الاتار ديال هادي، الى شي حد قالها ليك؟", هادي كيحس بلي هادي كايحس بلي هادي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كايحس بلي كاي
0.0,0.0,0.0,0.0,0.0,0.0,"""في كاين أقرب كيميائي؟"" شناهوما الاتار ديال هادي، الى شي حد قالها ليك؟"," للمسألة، لكن من دون التأكيد على أن كاين هو كيميائي.
The question ""Qui est le plus proche des chimistes?"" was rephrased to ""Qui est le plus proche des chimistes?"" with the same basic meaning but without the emphasis on Kain being a chemist. 2
In 1907, Kain was appointed professor of chemistry at the University of Liège. He was elected a member of the Royal Academy of Belgium in 1911. 3
In 1913, he became professor of chemistry at the University of Liège, a position he"
0.0,0.0,0.0,0.0,0.0,0.0,"""كنظن بلي هادا المناظر الطبيعية الخلابة."" قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية", شناهوما ليك راهو كايقولوها؟ كولنا نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو نزيدو
1.0,0.014405472204089165,0.029715436743572354,0.6370168924331665,0.009176529137481237,0.018929235171684794,"كتب قصة لي كتبدا بهاد السطر: ""شكون اللي غيلعب في قاعة الحفلات الموسيقية اليوم؟""",".
""مريض، عشان ما جاوزش الساعة 8 مساءً من العيادة."" أومأ بيده.
""ما شاء الله، في حاجة أتمناها ليه، مريض؟"" سألته.
""نعم، عشان ما جاوزش الساعة 8 مساءً من العيادة."" قال لي.
""كيفا؟"" سألته.
""كيفا؟"" تكرر.
""لا، عشان ما جاوزش الساعة 8 مساءً من العيادة."" قال لي"
1.0,0.003070796374231577,0.005211540614254773,0.6869494318962097,0.0021094818247473224,0.00358006486426634,"""ديني للمستشفى."" قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على هاد الجملة"," قلت: ""للي عاوز يروح للمستشفى.""
الجواب الصحيح هو: ""للي عاوز يروح للمستشفى.""
وأنا ببقى كويس، بس السؤال كان شوية صعب. شكراً على المجهود. 
وأنا أتمنى أكون سألت السؤال. 
أنا متأكد من أنك لست متأكد من جوابك.
فأنا سأل السؤال، والجواب الصحيح هو: ""للي عاوز يروح للمستشف"
1.0,0.9943769574165344,0.996956643066369,0.7403572201728821,0.7361941599968738,0.7381040488935051,"عاود كتب هاد الجملة باش تكون مناسبة اكتر لجمهور كامل: ""أوه، والو. كنتي هنا، على أي حال.""","ين
""أوه، والو. كنتي هنا، على أي حال."" كتب قصة لي كتبدا بهاد السطرين
""أوه، والو. كنتي هنا، على أي حال."" كتب قصة لي كتبدا بهاد السطرين
""أوه، والو. كنتي هنا، على أي حال."" كتب قصة لي كتبدا بهاد السطرين
""أوه، والو. كنتي هنا، على أي حال."" كتب قصة لي كتبدا بهاد السطرين
""أوه، والو. كنتي هنا، على أي حال."" كتب قصة"
1.0,0.9961498975753784,0.9972440099372761,0.6578452587127686,0.6553124870871727,0.6560322437169461,"كمل هاد المقطع ورجعو قصة: ""كنتي مفترض تأخذ الرحلة ثمنية جوج صفر، اللي مشات قبل خمسة عشر دقيقة. واخا. يمكنلي نرتب ليك رحلة أخرى."""," هاد الفقرة ممكن تكون سؤال أو جزء من سؤال، وديرو على طريقة مقالة. هادي كمان فكرة:
الفقرة دي ممكن تكون سؤال، وديرو على طريقة مقالة.
""كنتي مفترض تأخذ الرحلة ثمنية جوج صفر، اللي مشات قبل خمسة عشر دقيقة. واخا. يمكنلي نرتب ليك رحلة أخرى.""
هاد الفقرة ممكن تكون سؤال أو جزء من سؤال، وديرو على طريقة مقالة. هادي كمان فكرة:
"
0.0,0.0,0.0,0.0,0.0,0.0,"قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية: ""الأسنان ضعيفة."""," (بالإنجليزي: ""Your teeth are weak."" Whose words are these, anyway?).
الأسنان ضعيفة. هادي، شي حد قالها ليك؟ (بالإنجليزي: Your teeth are weak. Whose words are these, anyway?).
هادي، شي حد قالها ليك؟ (بالإنجليزي: Whose words are these, anyway?).
هادي، شي حد قالها ليك؟ (بالإنجليزي: Whose words are these, anyway?).
هادي، شي حد قالها ليك؟ (بالإنجليزي"
1.0,0.05464295670390129,0.11706170346587896,0.0,0.0,0.0,"كتب قصة لي كتبدا بهاد السطر: ""شي كرسي لغير المدخنين عافاك."""," هاجموني وقلت: ""يا بني، أليس هذا السعر مفتوح لجميع الناس؟"" قلت له: ""لا، هذا السعر مخصص لغير المدخنين فقط."" قلت: ""ما الفرق بيننا؟"" قلت: ""ما الفرق بيننا؟"" قلت: ""ما الفرق بيننا؟"" قلت: ""ما الفرق بيننا؟"" قلت: ""ما الفرق بيننا؟"" قلت: ""ما الفرق بيننا؟"" قلت: ""ما الفرق بيننا؟"" قلت: ""ما"
1.0,0.8459327220916748,0.8970636366866529,0.615220308303833,0.5204349900895409,0.5518917671305202,"كتب قصة لي كتبدا بهاد السطر: ""بشحال الفطر الطازج؟"""," في اللغة العربية. 

""بشحال"" مازال جايب إشكالية في اللغة العربية. 

""فطر"" مازال جايب إشكالية في اللغة العربية. 

""طازج"" مازال جايب إشكالية في اللغة العربية.

الجواب: 
""بشحال"" مازال جايب إشكالية في اللغة العربية. 
فكده هقولك في الجملة دي: ""بشحال الفطر الطازج؟"" هقولك في كل الجمل دي: 
""بشحال الفطر؟"""
1.0,0.996033251285553,0.9972265433316352,0.9914981722831726,0.9875651481828918,0.9887482950655823,"جاوب على شي موضوع لي كيبدا بـ""الى كان ممكن، كنفضل ميكونش السن خارج."""," 
واحد الجواب  هي هاد الجملة ماشي شوية كبيرةش، وحدا كتير من الناس بيعرفوش كتيرش، وكدا بيعرفوش كتيرش بيعملوش حاجات كتيرش، ودا غير حاجة واحدةش، ودا هو: ""ما كان ممكن، كنفضل ميكونش السن خارج."" 
واحد الجواب  ممكن يكون كتير من الناس بيعرفوش كتيرش، وكدا بيعرفوش كتيرش بيعملوش حاجات"
