acc,prob,macro_prob,dialectness,score,macro_score,prompts,generations
1.0,0.9940272569656372,0.9960638112970628,0.9462147951126099,0.94056329728609,0.9424903151255356,"قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية: ""انا ليك و انت ليا الدنيا تفرح بنا""", و هاد الجملة كتكون مفيش أبدا ناس بتحفظها، ليك و انت ليا هيوصل ليك أينما تروح و هاد الجملة كتكون مفيش أبدا ناس بتحفظها، هاد الجملة كتكون مفيش أبدا ناس بتحفظها و هاد الجملة كتكون مفيش أبدا ناس بتحفظها، هاد الجملة كتكون مفيش أبدا ناس بتحفظها، و هاد الج
1.0,0.07556517422199249,0.10666770208626986,0.972344160079956,0.07347535586017884,0.10371771719273304,"قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية: ""مابقاش الحب تسالا كنت معاك بالنية"""," 

الجواب: ""الناس كتير بتقول بلاش الحب تسالا، و بتقول بلاش الحب تقلبي، و بتقول بلاش الحب تتحسسيني، و هقولك الحقيقة، الحب مينفعش تسالو، الحب مينفعش تقلبو، و الحب مينفعش تتحسسوش، بس الحب مينفعش تقلبو، و الحب مينفعش تتحسسوش، و الحب مينفعش تقلبو، و"
1.0,0.9880825281143188,0.9952660343842581,0.0016373563557863235,0.0016178432074493987,0.0016296051670973146,"شناهوما الاتار ديال ""كانَ يحسابلي نُدِيركَ ماضِييَ""، الى شي حد قالها ليك؟","

الإجابة الصحيحة هي: ""عيسى بن يوسف""، و هو واحد من أشهر شعراء المغاربة، و هو من أشهر شعراء القرن العشرين في المغرب. و هو واحد من شعراء المخزانيين، و هو من أشهر شعراء فاس. و هو من أشهر شعراء المغرب في القرن العشرين. و هو من أشهر شعراء المغرب في القرن العشرين. و هو من أشهر شعراء المغرب في القرن العشرين. و هو من أشهر شعراء المغرب في القرن العشرين. و هو من أشهر شعر"
1.0,0.9958429932594299,0.9972897356492467,0.9318264722824097,0.9279528633560901,0.9293009762134945,"""مغربية الأصل طيبة وجمال وذوق"" اش من جمهور هادا نوع من الجملة لي هدشي موجه ليه؟ برر جواب ديالك","
""مغربية الأصل طيبة وجمال وذوق"" اش من جمهور هادا نوع من الجملة لي هدشي موجه ليه؟ برر جواب ديالك
الجواب هو: ""مغربية الأصل طيبة وجمال وذوق"" هاد الجملة هادشي موجه ليه بسباب انه مغربي و هادي نوع من الطريقة لي بتيجي فمغربية و هادي طريقة لي بتقدر تروح بيه و تتقدر تتعرف بيه و هادي طريقة لي بتق"
1.0,0.005852071102708578,0.01595008885487914,0.0,0.0,0.0,"عاود صياغة ""وفعيون والديك مهدية ومرضية"" بالكلمات دياولك، محافظ على المفهوم الاساسي"," للقصيدة دون ان تختلف في المعنى عن الصيغة الاصلية.
وأيضاً ""في ظلال المجد"" عوض ""في ظلال العلا""، فمنهجية القصيدة تؤكد على أن المجد هو المكان الذي يعتز بها الشاعر، وبالتالي فلا يصح استبداله بغيره. 
ولكن في موضع ""في ظلال العلا""، يبدو أن الشاعر يريد أن يبرز فضل العلا في حياة الناس، وبالتالي فلا يصح"
1.0,0.9958474040031433,0.9967489135160577,0.9213617444038391,0.9175357013123708,0.9183663176897863,"""خدعتني لعبت بقلبي بعد لبعيد وخليني"" قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية","
واش كيحاجا هاد الجملة لي فيه كيشوف هادشي
الجواب هو : الجملة ديالها بتعبر عن الخوف من الخسارة
أو كيعني كتافدشي بلي كيخافش من الخسارة
أو كتافدشي بلي كيخافش من الخسارة
أو كتافدشي بلي كيخافش من الخسارة
أو كتافدشي بلي كيخافش من الخسارة
أو كتافدشي"
1.0,0.981438398361206,0.9940189827466384,0.0036983219906687737,0.0036296752111459885,0.003676202263034097,"""مولاي السلطان يا مرضي الوالدين"" اش من جمهور هادا نوع من الجملة لي هدشي موجه ليه؟ برر جواب ديالك",".
الإجابة الصحيحة هي: ""مولاي السلطان"" هو عنوان أغنية مشهورة للفنانة ريهام. 
و""مرضي الوالدين"" هو عنوان أغنية مشهورة للفنانة شيرين.
و""هدشي"" هو تعبير من تعبيرات الشباب في مصر، يعني ""هذا"" أو ""هذه"". 
فإذا قيل ""هدشي"" بمقابلة ""مولاي السلطان يا مرضي الوالدين""، ي подраз من هذا الجملة أن موجهة لشخص ما،"
1.0,0.001190449926070869,0.04728959291242063,0.0931970402598381,0.00011094640968734807,0.00440725009453022,"عاود صياغة هدشي بالكلمات دياولك، محافظ على المفهوم الاساسي: ""محلى سهريات بلادى القصبه والجلال يصادى"""," واضعاً فيه قوله ""المحلى"" بدلاً من ""الجلال"". يبدو أن هذا الاصدار هو الاصدار الذي نُشر في مجلة ""الجريدة"" في 13/7/1952.
    كنا في القصبه حنيه عاليه
    صبحنا في القصبه حنيه عاليه
    قعدنا في القصبه حنيه عاليه
    لما نلعب في القصبه حنيه عاليه
    لما نلعب في القصبه
   "
1.0,0.6105203628540039,0.9940610087942332,0.9496569037437439,0.5797848774604404,0.9440168997439141,"""عندو الزين عنده الحمام دايرو في دارو"" قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على هاد الجملة",":
""عندو الزين عنده الحمام دايرو في دارو، وديرو ليه عنده فندق، وديرو ليه قاعة للفنين، وديرو ليه مصنع، وديرو ليه حديقة، وديرو ليه مطعم، وديرو ليه صالة للفنانين، وديرو ليه مصنع للاجهزة، وديرو ليه مطعم للفلافل، وديرو ليه مصنع للصابون، وديرو ليه مطعم للشاور، وديرو ليه"
1.0,0.9907413721084595,0.9973018921446055,0.7764995098114014,0.769310189792094,0.7744044303842692,"""كان يحسابلي غاديا ننساك وبالزربه"" كتب قصة لي كتبدا بهاد السطر",".
""كان يحسابلي غاديا ننساك وبالزربه"" كتب قصة لي كتبدا بهاد السطر.
""كان يحسابلي غاديا ننساك وبالزربه"" كتب قصة لي كتبدا بهاد السطر.
""كان يحسابلي غاديا ننساك وبالزربه"" كتب قصة لي كتبدا بهاد السطر.
""كان يحسابلي غاديا ننساك وبالزربه"" كتب قصة لي كتبدا بهاد السطر.
""كان يحسابلي غاديا ننساك وبالزربه"" كتب قصة"
