acc,prob,macro_prob,dialectness,score,macro_score,prompts,generations
1.0,0.9948210716247559,0.9969482054148102,0.9342721700668335,0.9294336414150735,0.93142096331713,"""اجمل فيديو لمدينه تيطوان اشكر كل من ساهم في نجاح هدا الفيديو من قريب او من بعيد والدي لم يشاهده فل ايبارطاجي URL"" شناهوما الاتار ديال هادي، الى شي حد قالها ليك؟"," هيقولك ""لاش نايب"" او ""لاش مين"" او ""لاش مزيان""؟ و ليك ميناش نايب؟ ميناش مين؟ ميناش مزيان؟ نايب فيك، مين فيك، مزيان فيك، و داكشي اللي فيك هي كتير، و هي كتير مزيان، و هي كتير نايب، و هي كتير مين. و ليك ميناش نايب؟ ميناش مين؟ ميناش مزيان؟"
1.0,0.9959906935691833,0.9970498202892486,0.9172316789627075,0.9135542160936936,0.9145256806733733,"""USER USER USER USER كاع لي سميتهم كيكونو هكا"" قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على هاد الجملة",".
           بقا ليكم مقالة قصيرة عن ""اللي سميتهم كيكونو هكا"".
           اللي سميتهم كيكونو هكا، هي مجموعة من الأشخاص اللي عندهم سمات معينة، ودي ليكم بعض الشروط اللي يحتاجوها ليكونوا كيكونو هكا.
           اللي سميتهم كيكونو هكا، هما مجموعة من الأشخاص اللي عندهم سمات معينة، ودي ليكم بعض"
1.0,0.9958639144897461,0.9966801682312507,0.9147720336914062,0.9109884583376697,0.9117351444327941,"قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية: ""اييه كان فواحد الزمان رجل اسمه بنكيران محارب الفيران NUM ف غلبهم وبغا يعلن الحرب عن البيران URL URL"""," 
الجواب:  
هاد الجملة ماشي هادش كشيحاجا اساسية، هادشي كيشوف مابينهاش، ليك تيقول لي بنكيران محارب، وغلب فواحد الزمان فواحد الزمان، وغادي يعلن الحرب فواحد الزمان، هادشي كيشوف كلامك غير كلامك، هادشي ماشي كشيحاجا اساسية، هادشي كيشوف كلامك كلامك. 
الجواب:  
كلامك ماشي"
0.0,0.0,0.0,0.0,0.0,0.0,"شناهوما الاتار ديال ""مرحبا تشربو معانا كاس لاتاي""، الى شي حد قالها ليك؟",".
html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"" تشربو
html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"" معانا
html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"" لاتاي
html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3"
1.0,0.003110066521912813,0.005986838223179802,0.13998009264469147,0.00043534739986850896,0.0008380381691294888,"قاد سؤال لي يقدر يكون فالمتحان، وديرو على طريقة مقالة، وبني على ""USER كيلعب ف هوفنهايم""","، ودا من سؤال جايب دا ف محاضرة عن التكنولوجيا.
ما هي الطريقة التي يمكن أن تستخدمها شركة هوفنهايم لتحسين جودة الخدمة التي تقدمها للمستخدمين؟ وهل يمكن أن تؤثر التكنولوجيا في هذا الهدف؟

بسم الله الرحمن الرحيم.

في هذا المقال، سوف أقدم على بعض الطرق التي يمكن أن تستخدمها شركة هوفنهايم لتحسين جودة الخدمة التي تقدمها للمستخدمين، وتأثير التكنولوجيا في هذا"
1.0,0.010285183787345886,0.01614504778990522,0.7314989566802979,0.00752360120970863,0.011810085613869217,"""سروالو هابط ونهار كامل وهو ﻻصق فالبنات ويجي هنا يكتب ساغادر البلاد خاصك تحمد الله وتشكرو الدوله سجلاتك ذكر"" كتب قصة لي كتبدا بهاد السطر"," ""حسناً"" قصة لي عن إنسان إنه دخل سجن قريب من بيتي لما فعلت إيه لما فعلت إيه؟! هو شاب كان بيحلم بيكون ممثل وبيحلم بيكون فنان وبيحلم بيكون عالم وبيحلم بيكون كده كده كده وبيحلم بيكون كده كده كده وبيحلم بيكون كده كده كده وبيحلم بيكون كده كده كده وبيحلم بيكون ك"
1.0,0.9959577918052673,0.9975720527581871,0.3061777949333191,0.30494016054159445,0.30543441140060634,"""بابلو اسكوبار  منير__رماش هو اكبر تاجر المخدراات في افريقيا الوحيد لي تحدي الملك قبل NUM عام وقال له اذا سقطت انا سيسقط اقتصاد المغرب وهو صاحب #الزودياگ الي دااو الدراري لاسبانيا فابور علي حسب مقالو هو URL URL"" قاد واحد الجواب  لي فيه هاد الجملة كشيحاجا اساسية"," على النص:
""حسناً. و يمكنك ان تقول لي ماشي هاد الجملة كشيحاجا اساسية على النص:
""حسناً. و يمكنك ان تقول لي
منير__رماش هو اكبر تاجر المخدراات في افريقيا الوحيد
لي تحدي الملك قبل NUM عام
وقال له اذا سقطت انا سيسقط اقتصاد المغرب
هو صاحب #الزودياگ الي دااو الدراري لاسبانيا
فابور علي حسب مقالو هو URL URL"""
0.0,0.0,0.0,0.0,0.0,0.0,"جاوب علي هاد الموضوع: ""سمح ليا الله يعطيك الستر v واحد اللعيبه مابغاتش تفهم ليا شفت بزااف ديال الناس كلهم حاقدين علي الوضعيه URL URL""", 1.2.1.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40.41.42.43.44.45.46.47.48.49.50.51.52.53.54.55.56.57.58.59.60.61.62.63
1.0,0.9949190020561218,0.9964599381200969,0.05917905271053314,0.058878364065390265,0.05896955520194381,"""استطلاع الراي اكثر من NUM من المغاربه مستعدون للموت لاجل الدفاع عن بلدهم URL بلادنا يا اخي انقلع من URL URL"" اش من جمهور هادا نوع من الجملة لي هدشي موجه ليه؟ برر جواب ديالك",".
الجواب هو: استطلاع الراي هو نوع من الاستطلاع الاجتماعي وهو دراسة الرأي العام في المجتمع من خلال استبيان أو استطلاع أعماله. وفي هذا السياق، فإن ""استطلاع الراي اكثر من NUM من المغاربه مستعدون للموت لاجل الدفاع عن بلدهم"" هو استطلاع يهدف إلى تعرف على مدى استعدادهم لمواجهة أي تهديد أو عدوان على بلدهم. والجملة ""بلادنا يا اخي انقلع من بلادنا"""
1.0,0.9957329630851746,0.9977560256811557,0.1614043414592743,0.16071562317605448,0.1610421542620897,"""USER بحال بحال الله يحضر غي السلامه"" عاود كتب هاد الجملة باش تكون مناسبة اكتر لجمهور كامل"," من 18 سنة و فوق
""USER بحال بحال الله يحضر غي السلامه"" عاود كتب هاد الجملة باش تكون مناسبة اكتر لجمهور كامل من 18 سنة و فوق
""USER بحال بحال الله يحضر غي السلامه"" عاود كتب هاد الجملة باش تكون مناسبة اكتر لجمهور كامل من 18 سنة و فوق
""USER بحال بحال الله يحضر غي السلامه"" عاود كتب هاد الجملة باش تكون مناسبة اكتر لجمهور كامل من 18 سنة و فوق
""USER بحال"
