acc,prob,macro_prob,dialectness,score,macro_score,prompts,generations
1.0,0.9908746480941772,0.991315597173525,0.8428731560707092,0.8351816419095925,0.8355533060517689,"""فيه أى مضيفة بتتكلم ياباني؟"" كمل الحتة دي في شكل قصة.","

فيه أى مضيفة بتتكلم ياباني؟، سألتها بحماس. طبعاً، أنا بتكلم ياباني كويس. قالتها بابتسامة. أنا كنت حابب أتعلم ياباني من فترة طويلة، بس ما كنتش عندي وقت. قلتها. أنا كمان كنت حابب أتعلم، بس ما كنتش عندي وقت. قالتها."
0.0,0.0,0.0,0.0,0.0,0.0,"هيأثر عليك ازاي ""قهوة بالكريمة والسكر، من فضلك."" لو حد قلك كدا؟",
0.0,0.0,0.0,0.0,0.0,0.0,"""فيه اى مضيفة بتتكلم ياباني؟"" عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع.",
0.0,0.0,0.0,0.0,0.0,0.0,"ايه نوع الناس اللي الجملة دي معموله عشانه؟ ""ضيعت ورقة الاستلام بتاعتي."" اشرح اجابتك",.
0.0,0.0,0.0,0.0,0.0,0.0,"عيد كتابة ""خلينا نكون سوا عشان نناقش ده اكتر ."" عشان تبقى مناسبة لجمهور أوسع.",
1.0,0.1363949328660965,0.1874445602297783,0.0,0.0,0.0,"عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع: ""عاوز أشوف المينا.""","

هو رأي سلبي"
1.0,0.9775916934013367,0.9788126985076815,0.7524882555007935,0.7356262679596384,0.7365450599620693,"عايز رد جذاب تكون الجملة دي فيه هي الأساس: ""فين أقرب صيدلية؟""","

أول حاجة، لازم تعرف أنك بتسأل عن مكان قريب منك، يعني لازم تكون جاهز بمعلومات عن مكانك الحالي.

بعدين، لازم تعرف أنك بتسأل عن صيدلية، يعني لازم تكون جاهز بمعلومات عن الصيدليات القريبة منك.

أخيرًا، لازم تكون جاهز بمعلومات عن المسافة بينك وبين الصيدلية، يعني لازم تكون جاهز بمعلومات عن المسافة بينك وبين أقرب صيدلية.

إذا كنت جاهز بمعلومات عن مكانك الحالي، وعن الصيد"
0.0,0.0,0.0,0.0,0.0,0.0,"""متهيألي ان المنظر خلاب ."" اكتب سؤال امتحان مقالي مناسب بناءً على الجملة دي.",
0.0,0.0,0.0,0.0,0.0,0.0,"""ايه اللي حيتعزف في قاعة الحفلات الموسيقية النهاردة؟"" كمل الحتة دي في شكل قصة.",
0.0,0.0,0.0,0.0,0.0,0.0,"""خدني للمستشفى."" عايز رد جذاب تكون الجملة دي فيه هي الأساس.",
0.0,0.0,0.0,0.0,0.0,0.0,"اكتب قصة بدايتها ""أوة، لا ولا حاجه . المهم انك هنا، على اى حال ."".",
0.0,0.0,0.0,0.0,0.0,0.0,"رد على اي كلام بيبتدي كده: ""انت كان المفروض تاخد الرحلة تمانية اتنين صفر، اللي اقلعت من خمستاشر دقيقة . على الى حال انا اقدر ارتب رحلة جديدة عشانك .""",
0.0,0.0,0.0,0.0,0.0,0.0,"اكتب قصة بدايتها ""السنة ملخلخة."".",
0.0,0.0,0.0,0.0,0.0,0.0,"عيد صياغة ""كرسي لغير المدخنين، لو سمحت ."" بألفاظك بس يكون المعنى الأصلي موجود.",
0.0,0.0,0.0,0.0,0.0,0.0,"رد على الكلام ده: ""بكام المشروم الطازه؟""",
1.0,0.1363949328660965,0.1874445602297783,0.0,0.0,0.0,"ايه نوع الناس اللي الجملة دي معموله عشانه؟ ""لو ينفع، انا بأفضل ان السن ما يتخلعش ."" اشرح اجابتك","

هو رأي سلبي"
0.0,0.0,0.0,0.0,0.0,0.0,"عايز رد جذاب تكون الجملة دي فيه هي الأساس: ""عايز أوضة بتبص على البحيرة.""",
0.0,0.0,0.0,0.0,0.0,0.0,"""انا فاهم، بس ما اقدرش اتكلم ."" رد على الكلام ده.",
0.0,0.0,0.0,0.0,0.0,0.0,"اكتب سؤال امتحان مقالي مناسب بناءً على الجملة دي: ""عايز كروت تذكارية لهاواي .""",.
0.0,0.0,0.0,0.0,0.0,0.0,"""لو سمحت، دوس على زرار التوصير، من فضلك."" كمل الحتة دي في شكل قصة.",
0.0,0.0,0.0,0.0,0.0,0.0,"رد على الكلام ده: ""بونساي شكلها هواية حد من زمان.""",
0.0,0.0,0.0,0.0,0.0,0.0,"""ممكن تذكرو متعدده؟"" ايه نوع الناس اللي الجملة دي معموله عشانه؟ اشرح اجابتك",
